Quarter,Time,Down,ToGo,Location,GNB,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,GNB 30,0,0,"Mason Crosby kicks off 70 yards, returned by Eric Weems for 25 yards (tackle by Brandon Underwood)",0.000,0.610
1,14:55,1,10,ATL 25,0,0,Matt Ryan pass incomplete short left intended for Michael Jenkins,0.610,0.060
1,14:51,2,10,ATL 25,0,0,Michael Turner left guard for 3 yards (tackle by Desmond Bishop),0.060,-0.230
1,14:17,3,7,ATL 28,0,0,Matt Ryan pass complete short left to Jason Snelling for 12 yards (tackle by Tramon Williams),-0.230,1.600
1,13:31,1,10,ATL 40,0,0,Michael Turner left end for 14 yards (tackle by Desmond Bishop),1.600,2.520
1,13:06,1,10,GNB 46,0,0,Michael Turner left guard for 3 yards (tackle by A.J. Hawk),2.520,2.380
1,12:27,2,7,GNB 43,0,0,Matt Ryan pass complete short middle to Roddy White for 14 yards (tackle by Tramon Williams),2.380,3.640
1,11:46,1,10,GNB 29,0,0,"Matt Ryan pass complete short right to Jason Snelling for no gain. Penalty on Charles Woodson: Defensive Holding, 5 yards (no play)",3.640,3.970
1,11:19,1,10,GNB 24,0,0,Michael Turner left end for 4 yards (tackle by Tramon Williams),3.970,3.970
1,10:41,2,6,GNB 20,0,0,"Michael Turner left end for 1 yard (tackle by Frank Zombo and Clay Matthews). Penalty on Harvey Dahl: Unnecessary Roughness, 15 yards",3.970,1.420
1,10:14,3,20,GNB 34,0,0,Matt Ryan pass complete short middle to Michael Jenkins for 14 yards (tackle by Charlie Peprah),1.420,2.150
1,9:36,4,6,GNB 20,0,3,Matt Bryant 38 yard field goal good,2.150,3.000
1,,,,ATL 30,0,3,"Michael Koenen kicks off 74 yards, returned by Sam Shields for 15 yards (tackle by Kroy Biermann)",0.000,-0.370
1,9:28,1,10,GNB 11,0,3,Aaron Rodgers right tackle for 6 yards (tackle by Kroy Biermann),-0.370,-0.160
1,8:49,2,4,GNB 17,0,3,Brandon Jackson left guard for 1 yard (tackle by Kroy Biermann),-0.160,-0.600
1,8:09,3,3,GNB 18,0,3,Aaron Rodgers middle for 2 yards (tackle by Curtis Lofton),-0.600,-2.030
1,7:28,4,1,GNB 20,0,3,"Tim Masthay punts 53 yards. Penalty on Jarrett Bush: Illegal Touch Kick, 5 yards",-2.030,-1.070
1,7:16,1,10,ATL 32,0,3,Michael Turner left guard for 6 yards (tackle by Frank Zombo and Tramon Williams),1.070,1.340
1,6:35,2,4,ATL 38,0,3,Jason Snelling left tackle for 2 yards (tackle by Clay Matthews),1.340,0.890
1,5:51,3,2,ATL 40,0,3,Matt Ryan sacked by Frank Zombo for -11 yards,0.890,-1.440
1,5:10,4,13,ATL 29,0,3,"Michael Koenen punts 51 yards, returned by Tramon Williams for 13 yards (tackle by Jason Snelling). Penalty on Dimitri Nance: Illegal Block Above the , 10 yards",-1.440,0.220
1,5:05,1,10,GNB 15,0,3,Aaron Rodgers pass complete short left to Greg Jennings for 30 yards (tackle by John Abraham),-0.220,1.930
1,4:22,1,10,GNB 45,0,3,"Brandon Jackson left tackle for -1 yards (tackle by Corey Peters). Penalty on Corey Peters: Face Mask (15 Yards), 15 yards",1.930,2.850
1,3:55,1,10,ATL 41,0,3,Aaron Rodgers pass complete deep right to Donald Driver for 17 yards (tackle by Brent Grimes),2.850,3.970
1,3:26,1,10,ATL 24,0,3,Brandon Jackson left end for no gain (tackle by John Abraham),3.970,3.430
1,2:54,2,10,ATL 24,0,3,Aaron Rodgers for 11 yards (tackle by Corey Peters),3.430,4.710
1,2:19,,,,0,3,Timeout #1 by Green Bay Packers,0.000,4.710
1,2:19,1,10,ATL 13,0,3,Brandon Jackson right tackle for 4 yards (tackle by Brian Williams),4.710,4.770
1,1:40,2,6,ATL 9,0,3,Aaron Rodgers right end for 5 yards (tackle by Jonathan Babineaux),4.770,5.010
1,0:55,3,1,ATL 4,0,3,Dimitri Nance left guard for no gain (tackle by Coy Wire),5.010,3.040
1,0:07,4,1,ATL 4,3,3,Mason Crosby 22 yard field goal good,3.040,3.000
1,,,,GNB 30,3,3,"Mason Crosby kicks off 70 yards, returned by Eric Weems for 28 yards (tackle by Matt Wilhelm)",0.000,0.810
Quarter,Time,Down,ToGo,Location,GNB,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ATL 28,3,3,Michael Turner right end for no gain (tackle by Charles Woodson),0.810,0.260
2,14:18,2,10,ATL 28,3,3,Michael Turner right end for 7 yards (tackle by Desmond Bishop),0.260,0.500
2,13:34,3,3,ATL 35,3,3,Matt Ryan pass incomplete deep left intended for Harry Douglas,0.500,-1.040
2,13:29,4,3,ATL 35,3,3,"Michael Koenen punts 47 yards, returned by Tramon Williams for -3 yards (tackle by Kroy Biermann)",-1.040,0.220
2,13:15,1,10,GNB 15,3,3,"Aaron Rodgers pass complete short right to Brett Swain for 31 yards (tackle by William Moore). Penalty on William Moore: Unnecessary Roughness, 15 yards",-0.220,2.980
2,12:50,1,10,ATL 39,3,3,Aaron Rodgers pass complete short middle to Jordy Nelson for 6 yards (tackle by Brian Williams),2.980,3.250
2,12:10,2,4,ATL 33,3,3,Aaron Rodgers pass incomplete short middle intended for Greg Jennings,3.250,2.540
2,12:06,3,4,ATL 33,3,3,Aaron Rodgers pass complete short right to James Jones for 9 yards (tackle by William Moore),2.540,3.970
2,11:20,1,10,ATL 24,3,3,Aaron Rodgers pass complete short right to James Jones for 5 yards (tackle by Stephen Nicholas),3.970,4.120
2,10:42,2,5,ATL 19,3,3,Aaron Rodgers pass complete short middle to Jordy Nelson for 5 yards (tackle by Brian Williams),4.120,4.650
2,9:47,1,10,ATL 14,3,3,Aaron Rodgers pass complete short right to James Jones for 8 yards (tackle by William Moore and Curtis Lofton),4.650,5.470
2,9:00,2,2,ATL 6,3,3,Aaron Rodgers pass complete short right to James Jones for 4 yards (tackle by Brent Grimes),5.470,6.740
2,8:22,1,2,ATL 2,3,3,Aaron Rodgers pass incomplete short left intended for Quinn Johnson,6.740,5.720
2,8:18,2,2,ATL 2,3,3,Aaron Rodgers left guard for 1 yard (tackle by Peria Jerry),5.720,5.170
