Unnamed: 0,GNB,ATL
First Downs,22,19
Rush-Yds-TDs,23-77-1,27-117-1
Cmp-Att-Yd-TD-INT,26-35-344-1-0,24-28-197-1-0
Sacked-Yards,1-3,2-20
Net Pass Yards,341,177
Total Yards,418,294
Fumbles-Lost,4-1,1-0
Turnovers,1,0
Penalties-Yards,8-66,4-50
Third Down Conv.,4-11,4-12
Fourth Down Conv.,2-3,2-2
Time of Possession,28:20,31:40
