Unnamed: 0,CLE,DEN
First Downs,20,29
Rush-Yds-TDs,18-91-0,32-118-1
Cmp-Att-Yd-TD-INT,21-36-183-1-0,30-43-339-3-1
Sacked-Yards,6-41,0-0
Net Pass Yards,142,339
Total Yards,233,457
Fumbles-Lost,1-1,2-0
Turnovers,1,1
Penalties-Yards,10-69,11-84
Third Down Conv.,3-12,9-15
Fourth Down Conv.,1-3,0-0
Time of Possession,26:20,33:40
