Quarter,Time,Tm,Detail,CLE,DEN
1.0,12:10,Broncos,Demaryius Thomas 22 yard pass from Peyton Manning (Matt Prater kick),0,7
,4:35,Browns,Phil Dawson 27 yard field goal,3,7
2.0,12:40,Broncos,Eric Decker 10 yard pass from Peyton Manning (Matt Prater kick),3,14
3.0,11:09,Browns,Phil Dawson 53 yard field goal,6,14
,4:33,Broncos,Eric Decker 8 yard pass from Peyton Manning (Matt Prater kick),6,21
4.0,14:53,Broncos,Matt Prater 27 yard field goal,6,24
,12:11,Broncos,Jacob Hester 1 yard rush (Matt Prater kick),6,31
,7:56,Browns,Greg Little 6 yard pass from Colt McCoy (run failed),12,31
,1:55,Broncos,Matt Prater 41 yard field goal,12,34
