Unnamed: 0,DAL,PHI
First Downs,14,23
Rush-Yds-TDs,25-101-0,23-91-1
Cmp-Att-Yd-TD-INT,19-26-209-2-0,28-41-289-2-1
Sacked-Yards,3-16,2-11
Net Pass Yards,193,278
Total Yards,294,369
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,13-75,6-50
Third Down Conv.,5-13,1-10
Fourth Down Conv.,0-0,1-1
Time of Possession,27:58,32:02
