Quarter,Time,Tm,Detail,DAL,PHI
1.0,9:53,Eagles,Riley Cooper 2 yard pass from Michael Vick (Alex Henery kick),0,7
,2:13,Cowboys,Felix Jones 11 yard pass from Tony Romo (Dan Bailey kick),7,7
2.0,3:50,Cowboys,Dan Bailey 30 yard field goal,10,7
3.0,12:52,Eagles,Jeremy Maclin 44 yard pass from Nick Foles (Alex Henery kick),10,14
,4:32,Eagles,Alex Henery 40 yard field goal,10,17
,0:00,Cowboys,Dez Bryant 30 yard pass from Tony Romo (Dan Bailey kick),17,17
4.0,13:35,Cowboys,Dwayne Harris 78 yard punt return (Dan Bailey kick),24,17
,12:25,Cowboys,Brandon Carr 47 yard interception return (Dan Bailey kick),31,17
,1:55,Eagles,Stanley Havili 1 yard rush (Alex Henery kick failed),31,23
,0:46,Cowboys,Jason Hatcher defensive fumble recovery in end zone (Dan Bailey kick),38,23
