Unnamed: 0,OAK,KAN
First Downs,14,23
Rush-Yds-TDs,16-48-0,39-189-1
Cmp-Att-Yd-TD-INT,21-33-194-1-1,15-25-159-2-2
Sacked-Yards,6-37,1-9
Net Pass Yards,157,150
Total Yards,205,339
Fumbles-Lost,2-0,0-0
Turnovers,1,2
Penalties-Yards,7-59,5-55
Third Down Conv.,3-14,6-13
Fourth Down Conv.,1-1,1-2
Time of Possession,25:05,34:55
