Quarter,Time,Down,ToGo,Location,OAK,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,KAN 20,0,0,Alex Smith pass complete short right to Anthony Sherman for 18 yards (tackle by Curtis Lofton),0.280,1.470
1,14:25,1,10,KAN 38,0,0,Alex Smith pass incomplete deep right intended for Demetrius Harris,1.470,0.920
1,14:17,2,10,KAN 38,0,0,Charcandrick West middle for 13 yards (tackle by Charles Woodson),0.920,2.320
1,13:37,1,10,OAK 49,0,0,Charcandrick West left guard for -1 yards (tackle by Justin Ellis),2.320,1.650
1,12:58,2,11,,0,0,Charcandrick West middle for 3 yards (tackle by Dan Williams),1.650,1.360
1,12:12,3,8,OAK 47,0,0,Alex Smith pass complete short right to Travis Kelce for 10 yards (tackle by Malcolm Smith),1.360,3.120
1,11:32,1,10,OAK 37,0,0,Alex Smith pass complete short left to Jeremy Maclin for 12 yards,3.120,3.910
1,10:58,1,10,OAK 25,0,6,"Alex Smith pass complete short middle to Jeremy Maclin for 25 yards, touchdown",3.910,7.000
1,10:58,,,OAK 25,0,7,Cairo Santos kicks extra point good,0.000,0.000
1,10:58,,,KAN 35,0,7,"Cairo Santos kicks off 69 yards, returned by Taiwan Jones for 29 yards (tackle by Frank Zombo)",0.000,-0.610
1,10:47,1,10,OAK 25,0,7,Derek Carr pass complete short right to Jamize Olawale for 14 yards (tackle by Josh Mauga),0.610,1.530
1,10:08,1,10,OAK 39,0,7,Latavius Murray left guard for 5 yards (tackle by Derrick Johnson),1.530,1.660
1,9:32,2,5,OAK 44,0,7,Derek Carr pass complete short left to Amari Cooper for 6 yards (tackle by Sean Smith),1.660,2.260
1,8:48,1,10,,0,7,Latavius Murray right guard for 3 yards (tackle by Dontari Poe),2.260,2.120
1,8:17,2,7,KAN 47,0,7,Latavius Murray middle for -1 yards (tackle by Jaye Howard),2.120,1.290
1,7:33,3,8,KAN 48,0,7,"Derek Carr sacked by Ron Parker for -1 yards. Derek Carr fumbles (forced by Ron Parker), ball out of bounds at KAN-49",1.290,0.000
1,7:05,4,9,KAN 49,0,7,"Marquette King punts 36 yards, out of bounds",0.000,0.320
1,6:56,1,10,KAN 13,0,7,"Penalty on Dan Williams: Neutral Zone Infraction, 5 yards (no play)",-0.320,0.400
1,6:56,1,5,KAN 18,0,7,Spencer Ware middle for 1 yard (tackle by Khalil Mack),0.400,0.030
1,6:13,2,4,KAN 19,0,7,Alex Smith pass incomplete short middle intended for Demetrius Harris,0.030,-0.710
1,6:04,3,4,KAN 19,0,7,Alex Smith right end for 9 yards (tackle by Ben Heeney),-0.710,0.810
1,5:25,1,10,KAN 28,0,7,Alex Smith pass complete short middle to Albert Wilson for 5 yards (tackle by T.J. Carrie),0.810,0.940
1,4:49,2,5,KAN 33,0,7,Spencer Ware left end for 15 yards (tackle by Charles Woodson),0.940,2.130
1,4:07,1,10,KAN 48,0,7,Spencer Ware middle for 4 yards (tackle by Shelby Harris),2.130,2.120
1,3:31,2,6,OAK 48,0,7,Alex Smith pass incomplete,2.120,1.420
1,3:24,3,6,OAK 48,0,7,Alex Smith pass complete short right to Albert Wilson for 5 yards (tackle by T.J. Carrie),1.420,0.400
1,2:53,4,1,OAK 43,0,7,Alex Smith right guard for 6 yards (tackle by Charles Woodson),0.400,0.400
1,2:14,4,1,OAK 43,0,7,Timeout #1 by Kansas City Chiefs,0.400,3.120
1,2:14,1,10,OAK 37,0,7,Alex Smith pass complete deep right to Chris Conley for 16 yards (tackle by T.J. Carrie),3.120,4.170
1,1:38,1,10,OAK 21,0,7,Jeremy Maclin right end for 18 yards (tackle by T.J. Carrie),4.170,6.510
1,0:55,1,3,OAK 3,0,13,"Spencer Ware middle for 3 yards, touchdown",6.510,7.000
1,0:55,,,OAK 3,0,14,Cairo Santos kicks extra point good,0.000,0.000
1,0:55,,,KAN 35,0,14,"Cairo Santos kicks off 73 yards, returned by Taiwan Jones for 70 yards (tackle by Steven Nelson)",0.000,-3.050
1,0:42,1,10,KAN 38,0,14,Derek Carr pass complete deep left to Clive Walford for 19 yards (tackle by Dee Ford),3.050,4.310
1,0:02,1,10,KAN 19,0,14,Latavius Murray right end for 4 yards (tackle by Tyvon Branch),4.310,4.350
Quarter,Time,Down,ToGo,Location,OAK,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,6,KAN 15,0,14,"Penalty on Lee Smith: False Start, 5 yards (no play)",4.350,3.630
2,15:00,2,11,KAN 20,0,14,Derek Carr pass complete short right to Latavius Murray for 10 yards (tackle by Tyvon Branch),3.630,4.690
2,14:23,3,1,KAN 10,0,14,Latavius Murray left guard for -1 yards (tackle by Allen Bailey),4.690,2.820
2,13:43,4,2,KAN 11,3,14,Sebastian Janikowski 29 yard field goal good,2.820,3.000
2,13:43,,,OAK 35,3,14,"Sebastian Janikowski kicks off 63 yards, returned by Chris Conley for 14 yards (tackle by Andre Holmes)",0.000,0.140
2,13:33,1,10,KAN 16,3,14,Charcandrick West middle for 1 yard (tackle by Denico Autry),-0.140,-0.510
2,12:50,2,9,KAN 17,3,14,Alex Smith pass complete short left to Albert Wilson for 14 yards (tackle by David Amerson),-0.510,1.000
2,12:03,1,10,KAN 31,3,14,Alex Smith left end for 2 yards (tackle by Khalil Mack),1.000,0.730
2,11:16,2,8,KAN 33,3,14,Alex Smith pass incomplete deep left intended for Travis Kelce,0.730,0.040
2,11:10,3,8,KAN 33,3,14,Alex Smith left end for 22 yards (tackle by Taylor Mays),0.040,2.590
2,10:36,1,10,OAK 45,3,14,Charcandrick West middle for 2 yards (tackle by Khalil Mack),2.590,2.310
2,9:54,2,8,OAK 43,3,14,Charcandrick West right tackle for -6 yards (tackle by Lorenzo Alexander),2.310,0.830
2,9:06,3,14,OAK 49,3,14,Alex Smith middle for 5 yards (tackle by Taylor Mays),0.830,0.330
2,8:27,4,9,OAK 44,3,14,Dustin Colquitt punts 37 yards,0.330,0.380
2,8:13,1,10,OAK 7,3,14,Derek Carr pass incomplete short left intended for Michael Crabtree,-0.380,-0.780
2,8:10,2,10,OAK 7,3,14,Derek Carr pass complete short left to Amari Cooper for 14 yards (tackle by Sean Smith),-0.780,0.340
2,7:49,1,10,OAK 21,3,14,Latavius Murray left end for 1 yard (tackle by Sean Smith),0.340,-0.070
2,7:28,2,9,OAK 22,3,14,Derek Carr pass complete short right to Michael Crabtree for -3 yards (tackle by Marcus Peters),-0.070,-1.220
2,6:46,3,12,OAK 19,3,14,Derek Carr pass incomplete short right intended for Roy Helu,-1.220,-2.140
2,6:40,4,12,OAK 19,3,14,"Marquette King punts 57 yards, returned by Frankie Hammond for 7 yards (tackle by Jamize Olawale)",-2.140,-1.000
2,6:27,1,10,KAN 31,3,14,Alex Smith pass incomplete deep right intended for Albert Wilson is intercepted by T.J. Carrie at KAN-48 and returned for 2 yards,1.000,-2.520
2,6:20,1,10,KAN 46,3,14,Derek Carr middle for 5 yards (tackle by Frank Zombo),2.520,2.650
2,5:42,2,5,KAN 41,3,14,Latavius Murray right guard for 9 yards (tackle by Tyvon Branch),2.650,3.450
