Unnamed: 0,CLE,BAL
First Downs,11,28
Rush-Yds-TDs,23-71-0,28-142-3
Cmp-Att-Yd-TD-INT,17-27-126-0-4,26-37-346-1-0
Sacked-Yards,2-11,1-9
Net Pass Yards,115,337
Total Yards,186,479
Fumbles-Lost,0-0,1-1
Turnovers,4,1
Penalties-Yards,5-46,8-84
Third Down Conv.,3-12,4-11
Fourth Down Conv.,0-0,1-1
Time of Possession,28:42,31:18
