Quarter,Time,Tm,Detail,DAL,MIN
1.0,11:49,Vikings,Adam Thielen 20 yard pass from Kirk Cousins (Greg Joseph kick),0,7
2.0,6:09,Cowboys,Greg Zuerlein 38 yard field goal,3,7
,1:44,Vikings,Greg Joseph 45 yard field goal,3,10
3.0,14:07,Cowboys,Cedrick Wilson Jr. 73 yard pass from Cooper Rush (Greg Zuerlein kick),10,10
,6:31,Vikings,Greg Joseph 40 yard field goal,10,13
,0:04,Cowboys,Greg Zuerlein 39 yard field goal,13,13
4.0,2:51,Vikings,Greg Joseph 24 yard field goal,13,16
,0:51,Cowboys,Amari Cooper 5 yard pass from Cooper Rush (Greg Zuerlein kick),20,16
