Unnamed: 0,DAL,MIN
First Downs,23,17
Rush-Yds-TDs,24-78-0,24-101-0
Cmp-Att-Yd-TD-INT,25-41-360-2-1,23-36-184-1-0
Sacked-Yards,3-19,1-7
Net Pass Yards,341,177
Total Yards,419,278
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,11-96,7-57
Third Down Conv.,7-14,1-13
Fourth Down Conv.,0-0,1-2
Time of Possession,32:32,27:28
