Unnamed: 0,WAS,NYG
First Downs,24,16
Rush-Yds-TDs,24-86-0,26-132-0
Cmp-Att-Yd-TD-INT,31-42-280-2-1,12-19-112-1-1
Sacked-Yards,3-29,1-4
Net Pass Yards,251,108
Total Yards,337,240
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,8-50,4-30
Third Down Conv.,8-15,7-11
Fourth Down Conv.,2-2,0-0
Time of Possession,33:30,26:30
