Quarter,Time,Tm,Detail,WAS,NYG
1.0,3:23,Giants,Graham Gano 33 yard field goal,0,3
,1:36,Giants,Darius Slayton 23 yard pass from Daniel Jones (Graham Gano kick),0,10
2.0,10:50,Washington,Dustin Hopkins 35 yard field goal,3,10
,6:15,Giants,Graham Gano 20 yard field goal,3,13
,0:13,Washington,Logan Thomas 5 yard pass from Kyle Allen (Dustin Hopkins kick),10,13
4.0,8:56,Washington,Dustin Hopkins 28 yard field goal,13,13
,3:29,Giants,Tae Crowder 43 yard fumble return (Graham Gano kick),13,20
,0:36,Washington,Cam Sims 22 yard pass from Kyle Allen (pass failed),19,20
