Unnamed: 0,CLE,SEA
First Downs,15,28
Rush-Yds-TDs,17-94-0,36-182-0
Cmp-Att-Yd-TD-INT,19-32-161-1-1,21-30-249-3-0
Sacked-Yards,3-25,2-8
Net Pass Yards,136,241
Total Yards,230,423
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,4-40,5-30
Third Down Conv.,6-12,9-12
Fourth Down Conv.,0-0,0-0
Time of Possession,25:27,34:33
