Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA
1,0:47,,,CLE 3,7,7,Steven Hauschka kicks extra point good,0.000,0.000
1,0:47,,,SEA 35,7,7,"Steven Hauschka kicks off 74 yards, returned by Raheem Mostert for 31 yards (tackle by Cassius Marsh)",0.000,-0.410
1,0:38,1,10,CLE 22,7,7,Johnny Manziel sacked by Brandon Mebane for -8 yards,0.410,-1.330
Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,18,CLE 14,7,7,Johnny Manziel pass complete short right to Travis Benjamin for 4 yards (tackle by Marcus Burley),-1.330,-1.490
2,14:22,3,14,CLE 18,7,7,Johnny Manziel pass complete short right to Duke Johnson for -3 yards (tackle by K.J. Wright),-1.490,-2.440
2,14:02,4,17,CLE 15,7,7,"Andy Lee punts 47 yards, returned by Tyler Lockett for 5 yards (tackle by Gary Barnidge)",-2.440,-1.800
2,13:48,1,10,SEA 43,7,7,Russell Wilson pass incomplete deep middle intended for Tyler Lockett (defended by Charles Gaines),1.800,1.250
2,13:41,2,10,SEA 43,7,7,Russell Wilson pass complete short left to Doug Baldwin for 9 yards (tackle by Charles Gaines),1.250,1.750
2,13:09,3,1,CLE 48,7,7,Christine Michael left end for 9 yards (tackle by Tramon Williams),1.750,2.980
2,12:40,1,10,CLE 39,7,7,Russell Wilson left end for 16 yards (tackle by Tashaun Gipson),2.980,4.040
2,11:59,1,10,CLE 23,7,7,Russell Wilson pass complete short left to Tyler Lockett for 8 yards (tackle by Johnson Bademosi),4.040,4.750
2,11:26,2,2,CLE 15,7,7,Bryce Brown right tackle for 3 yards (tackle by Tashaun Gipson and Jamie Meder),4.750,4.780
2,10:46,1,10,CLE 12,7,7,Christine Michael middle for 6 yards (tackle by Donte Whitner and Danny Shelton),4.780,5.210
2,10:01,2,4,CLE 6,7,13,"Russell Wilson pass complete short right to Doug Baldwin for 6 yards, touchdown. Penalty on Johnson Bademosi: Defensive Holding (Declined)",5.210,7.000
2,10:01,,,CLE 6,7,14,Steven Hauschka kicks extra point good,0.000,0.000
2,10:01,,,SEA 35,7,14,"Steven Hauschka kicks off 70 yards, returned by Raheem Mostert for 53 yards (tackle by Steven Hauschka)",0.000,-2.130
2,9:48,1,10,CLE 48,7,14,Isaiah Crowell right guard for no gain (tackle by Michael Bennett),2.130,1.580
2,9:10,2,10,CLE 48,7,14,Johnny Manziel pass complete short left to Duke Johnson for 22 yards (tackle by Brandon Mebane),1.580,3.580
2,8:23,1,10,SEA 30,7,14,Isaiah Crowell middle for 5 yards (tackle by Kelcie McCray),3.580,3.710
2,7:39,2,5,SEA 25,7,14,Johnny Manziel pass incomplete short right intended for Jim Dray,3.710,3.010
2,7:33,3,5,SEA 25,7,14,"Johnny Manziel pass complete short left to Duke Johnson for -1 yards (tackle by Marcus Burley). Penalty on Cliff Avril: Defensive Offside, 5 yards (no play)",3.010,4.240
2,7:20,1,10,SEA 20,7,14,Isaiah Crowell right guard for 4 yards (tackle by K.J. Wright),4.240,4.280
2,6:43,2,6,SEA 16,7,14,Johnny Manziel pass incomplete short right intended for Travis Benjamin (defended by Richard Sherman),4.280,3.520
2,6:40,3,6,SEA 16,7,14,Johnny Manziel pass incomplete short right intended for Terrelle Pryor,3.520,2.400
2,6:35,4,6,SEA 16,10,14,Travis Coons 34 yard field goal good,2.400,3.000
2,6:35,,,CLE 35,10,14,"Travis Coons kicks off 68 yards, returned by Tyler Lockett for 15 yards (tackle by Tank Carder)",0.000,0.350
2,6:26,1,10,SEA 12,10,14,Christine Michael left tackle for 4 yards (tackle by Randy Starks and Karlos Dansby),-0.350,-0.370
2,5:50,2,6,SEA 16,10,14,Christine Michael right tackle for 4 yards (tackle by Danny Shelton),-0.370,-0.480
2,5:04,3,2,SEA 20,10,14,"Penalty on Russell Wilson: Delay of Game, 5 yards (no play)",-0.480,-1.070
2,4:48,3,7,SEA 15,10,14,Russell Wilson pass complete deep left to Jermaine Kearse for 22 yards (tackle by Tashaun Gipson),-1.070,1.400
2,4:04,1,10,SEA 37,10,14,Russell Wilson pass incomplete deep right intended for Tyler Lockett,1.400,0.860
2,3:57,2,10,SEA 37,10,14,Bryce Brown left tackle for 3 yards (tackle by Barkevious Mingo),0.860,0.560
2,3:20,3,7,SEA 40,10,14,Russell Wilson pass complete short middle to Jermaine Kearse for 13 yards (tackle by Tramon Williams),0.560,2.460
2,2:45,1,10,CLE 47,10,14,Christine Michael right tackle for 8 yards (tackle by Danny Shelton),2.460,2.990
2,2:05,2,2,CLE 39,10,14,Russell Wilson left end for 2 yards (tackle by Karlos Dansby),2.990,3.120
2,1:56,1,10,CLE 37,10,14,Russell Wilson sacked by Desmond Bryant and Christian Kirksey for 0 yards,3.120,2.570
2,1:14,2,10,CLE 37,10,14,Russell Wilson pass incomplete short left intended for Jermaine Kearse,2.570,1.880
2,1:09,3,10,CLE 37,10,14,Russell Wilson right end for 6 yards (tackle by Christian Kirksey),1.880,1.370
2,1:00,4,4,CLE 31,10,17,Steven Hauschka 49 yard field goal good,1.370,3.000
2,1:00,,,SEA 35,10,17,"Steven Hauschka kicks off 71 yards, returned by Raheem Mostert for 27 yards (tackle by Marcus Burley)",0.000,-0.340
2,0:51,1,10,CLE 21,10,17,Johnny Manziel pass complete short left to Duke Johnson for 3 yards (tackle by K.J. Wright and Bobby Wagner),0.340,0.210
2,0:42,2,7,CLE 24,10,17,Johnny Manziel pass incomplete deep left intended for Travis Benjamin (defended by Jeremy Lane),0.210,-0.490
2,0:37,3,7,CLE 24,10,17,"Johnny Manziel pass incomplete short left intended for Travis Benjamin. Penalty on Frank Clark: Defensive Offside, 5 yards (no play)",-0.490,0.170
2,0:29,3,2,CLE 29,10,17,Johnny Manziel pass incomplete short left intended for Taylor Gabriel,0.170,-1.440
2,0:23,4,2,CLE 29,10,17,"Andy Lee punts 44 yards, fair catch by Tyler Lockett",-1.440,-0.740
2,0:16,1,10,SEA 27,10,17,Russell Wilson pass complete short left to Jermaine Kearse for 5 yards (tackle by Tramon Williams),0.740,0.870
2,0:11,2,5,SEA 32,10,17,Russell Wilson pass complete short left to Luke Willson for 11 yards,0.870,0.870
2,0:02,2,5,SEA 32,10,17,Timeout #2 by Seattle Seahawks,0.870,1.800
2,0:02,1,10,SEA 43,10,17,"Russell Wilson pass complete deep left to Jermaine Kearse for 39 yards (tackle by Tashaun Gipson and Christian Kirksey). Penalty on Tramon Williams: Face Mask (15 Yards), 9 yards",1.800,5.140
2,0:00,1,9,CLE 9,10,20,Steven Hauschka 27 yard field goal good,5.140,3.000
Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 35,10,20,"Travis Coons kicks off 68 yards, returned by Tyler Lockett for 30 yards (tackle by Ibraheim Campbell)",0.000,0.740
3,14:55,1,10,SEA 27,10,20,Christine Michael right guard for 3 yards (tackle by Danny Shelton and Karlos Dansby),0.740,0.600
3,14:12,2,7,SEA 30,10,20,Christine Michael middle for 1 yard (tackle by Armonty Bryant),0.600,0.040
3,13:32,3,6,SEA 31,10,20,Russell Wilson pass complete short left to Jermaine Kearse for 7 yards (tackle by Tramon Williams),0.040,1.470
3,12:52,1,10,SEA 38,10,20,Russell Wilson sacked by Desmond Bryant for -8 yards,1.470,-0.160
3,12:06,2,18,SEA 30,10,20,Russell Wilson pass complete short middle to Luke Willson for 6 yards (tackle by Tashaun Gipson),-0.160,-0.030
3,11:23,3,12,SEA 36,10,20,Russell Wilson pass incomplete,-0.030,-0.980
3,11:18,4,12,SEA 36,10,20,"Jon Ryan punts 64 yards, touchback",-0.980,-0.280
3,11:09,1,10,CLE 20,10,20,Johnny Manziel pass incomplete short left intended for Gary Barnidge,0.280,-0.270
3,11:04,2,10,CLE 20,10,20,Duke Johnson for no gain (tackle by Bobby Wagner),-0.270,-0.960
3,10:18,3,10,CLE 20,10,20,Johnny Manziel for 12 yards (tackle by K.J. Wright). Penalty on Cliff Avril: Defensive Offside (Declined),-0.960,1.070
3,9:41,1,10,CLE 32,10,20,Johnny Manziel pass complete short left to Isaiah Crowell for 1 yard (tackle by Jeremy Lane),1.070,0.660
3,9:11,2,9,CLE 33,10,20,Johnny Manziel pass complete short left to Gary Barnidge for 10 yards (tackle by Cliff Avril),0.660,1.800
3,8:31,1,10,CLE 43,10,20,Terrelle Pryor right end for -1 yards (tackle by Richard Sherman and K.J. Wright),1.800,1.120
3,7:49,2,11,CLE 42,10,20,Johnny Manziel pass incomplete short right intended for Marlon Moore,1.120,0.430
3,7:44,3,11,CLE 42,10,20,Johnny Manziel pass complete short left to Gary Barnidge for 12 yards (tackle by Jeremy Lane),0.430,2.520
3,6:58,1,10,SEA 46,10,20,Johnny Manziel pass incomplete short right intended for Jim Dray,2.520,1.980
3,6:51,2,10,SEA 46,10,20,Isaiah Crowell right tackle for 4 yards (tackle by Kelcie McCray and Bobby Wagner),1.980,1.820
3,6:09,3,6,SEA 42,10,20,Johnny Manziel pass incomplete,1.820,0.460
3,6:03,4,6,SEA 42,10,20,Andy Lee punts 38 yards,0.460,0.380
3,5:54,1,10,SEA 4,10,20,Bryce Brown right guard for 2 yards (tackle by Xavier Cooper and Karlos Dansby),-0.380,-0.630
3,5:17,2,8,SEA 6,10,20,Bryce Brown left tackle for 2 yards (tackle by Nate Orchard and Jamie Meder),-0.630,-0.950
3,4:35,3,6,SEA 8,10,20,Russell Wilson pass complete short left to Fred Jackson for 7 yards (tackle by Johnson Bademosi and Christian Kirksey),-0.950,-0.220
3,4:13,1,10,SEA 15,10,20,Christine Michael right tackle for 8 yards (tackle by Charles Gaines),-0.220,0.480
3,3:34,2,2,SEA 23,10,20,Christine Michael right end for 6 yards (tackle by Craig Robertson),0.480,0.870
3,2:49,1,10,SEA 29,10,20,Russell Wilson pass complete short right to Jermaine Kearse for 12 yards (tackle by Karlos Dansby),0.870,1.660
3,2:06,1,10,SEA 41,10,20,Christine Michael left tackle for 10 yards (tackle by Donte Whitner),1.660,2.320
3,1:24,1,10,CLE 49,10,20,Russell Wilson pass complete short right to Doug Baldwin for 27 yards (tackle by Donte Whitner and Craig Robertson),2.320,4.110
3,0:50,1,10,CLE 22,10,20,"Penalty on J.R. Sweezy: False Start, 5 yards (no play)",4.110,3.780
3,0:38,1,15,CLE 27,10,20,Christine Michael left tackle for no gain (tackle by Karlos Dansby and Jamie Meder),3.780,2.890
Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,15,CLE 27,10,26,"Russell Wilson pass complete deep left to Tyler Lockett for 27 yards, touchdown",2.890,7.000
4,15:00,,,CLE 27,10,27,Steven Hauschka kicks extra point good,0.000,0.000
4,15:00,,,SEA 35,10,27,"Steven Hauschka kicks off 67 yards, returned by Raheem Mostert for 22 yards (tackle by Kevin Pierre-Louis)",0.000,-0.280
4,14:49,1,10,CLE 20,10,27,Johnny Manziel pass complete short middle to Marlon Moore for 20 yards (tackle by Earl Thomas and Kelcie McCray),0.280,1.600
4,14:11,1,10,CLE 40,10,27,Johnny Manziel pass complete short right to Isaiah Crowell for 6 yards (tackle by Frank Clark),1.600,1.860
4,13:32,2,4,CLE 46,10,27,Duke Johnson for 6 yards (tackle by Michael Bennett and Bobby Wagner),1.860,2.390
4,12:58,1,10,SEA 48,10,27,Johnny Manziel pass complete short left to Taylor Gabriel for 4 yards (tackle by Kelcie McCray),2.390,2.390
4,12:14,2,6,SEA 44,10,27,"Johnny Manziel for 9 yards (tackle by Frank Clark). Penalty on Cameron Erving: Offensive Holding, 10 yards (no play)",2.390,1.040
4,11:52,2,16,CLE 46,10,27,Duke Johnson for 39 yards (tackle by Earl Thomas),1.040,4.580
4,11:13,1,10,SEA 15,10,27,Johnny Manziel right end for 5 yards (tackle by Kelcie McCray),4.580,4.840
4,10:33,2,5,SEA 10,10,27,Johnny Manziel pass complete short middle to Isaiah Crowell for no gain,4.840,4.000
4,9:51,3,5,SEA 10,10,27,Johnny Manziel sacked by Marcus Burley for -9 yards,4.000,2.180
4,9:07,4,14,SEA 19,13,27,Travis Coons 37 yard field goal good,2.180,3.000
4,9:07,,,CLE 35,13,27,"Travis Coons kicks off 66 yards, returned by Tyler Lockett for 21 yards (tackle by Barkevious Mingo)",0.000,-0.280
4,8:54,1,10,SEA 20,13,27,Russell Wilson pass complete short left to Tyler Lockett for 8 yards (tackle by Tramon Williams),0.280,0.810
4,8:21,2,2,SEA 28,13,27,Bryce Brown right tackle for 18 yards (tackle by Donte Whitner),0.810,1.990
4,7:39,1,10,SEA 46,13,27,Russell Wilson pass incomplete short middle intended for Bryce Brown,1.990,1.450
4,7:32,2,10,SEA 46,13,27,Bryce Brown right end for 3 yards (tackle by Xavier Cooper and Craig Robertson),1.450,1.160
4,6:51,3,7,SEA 49,13,27,Russell Wilson pass complete short right to Fred Jackson for 10 yards (tackle by Pierre Desir),1.160,2.850
4,6:08,1,10,CLE 41,13,27,Russell Wilson left end for 16 yards (tackle by Tashaun Gipson),2.850,3.910
4,5:24,1,10,CLE 25,13,27,Russell Wilson pass incomplete deep left intended for Fred Jackson,3.910,3.360
4,5:19,2,10,CLE 25,13,27,Russell Wilson pass complete short left to Tyler Lockett for 8 yards (tackle by Pierre Desir),3.360,3.850
4,4:46,3,2,CLE 17,13,27,Bryce Brown middle for 4 yards (tackle by Karlos Dansby and Danny Shelton),3.850,4.710
4,4:01,1,10,CLE 13,13,27,"Russell Wilson pass incomplete short left intended for Jermaine Kearse (defended by Pierre Desir). Penalty on Justin Britt: Offensive Holding, 10 yards (no play)",4.710,4.040
4,3:52,1,20,CLE 23,13,27,Christine Michael left tackle for 5 yards (tackle by Barkevious Mingo and Desmond Bryant),4.040,4.040
4,3:47,1,20,CLE 23,13,27,Timeout #1 by Cleveland Browns,4.040,3.400
4,3:47,2,15,CLE 18,13,27,Christine Michael middle for 6 yards (tackle by Paul Kruger),3.400,3.400
4,3:41,2,15,CLE 18,13,27,Timeout #2 by Cleveland Browns,3.400,3.280
4,3:41,3,9,CLE 12,13,27,Russell Wilson pass incomplete short middle intended for Doug Baldwin (defended by Tramon Williams),3.280,2.630
4,3:37,4,9,CLE 12,13,30,Steven Hauschka 30 yard field goal good,2.630,3.000
4,3:37,,,SEA 35,13,30,"Steven Hauschka kicks off 66 yards, returned by Raheem Mostert for 26 yards (tackle by Eric Pinkins)",0.000,-0.610
4,3:28,1,10,CLE 25,13,30,Johnny Manziel pass complete short middle to Dwayne Bowe for 7 yards (tackle by Kelcie McCray),0.610,1.010
4,2:55,2,3,CLE 32,13,30,Johnny Manziel pass complete short right to Dwayne Bowe for 15 yards (tackle by Richard Sherman),1.010,2.060
4,2:50,1,10,CLE 47,13,30,"Johnny Manziel sacked by Michael Bennett for -8 yards. Johnny Manziel fumbles (forced by Michael Bennett), recovered by Cameron Erving at CLE-39",2.060,0.440
4,2:21,2,18,CLE 39,13,30,Johnny Manziel pass incomplete deep middle intended for Taylor Gabriel,0.440,-0.230
4,2:17,3,18,CLE 39,13,30,Johnny Manziel pass incomplete deep left intended for Dwayne Bowe is intercepted by Marcus Burley at SEA-35,-0.230,-1.270
4,2:06,1,10,SEA 35,13,30,Christine Michael left tackle for 7 yards (tackle by Armonty Bryant),1.270,1.670
4,2:00,2,3,SEA 42,13,30,Christine Michael right guard for 6 yards (tackle by Tashaun Gipson),1.670,2.130
4,1:18,1,10,SEA 48,13,30,Christine Michael right tackle for 1 yard (tackle by Craig Robertson),2.130,1.720
4,0:34,2,9,SEA 49,13,30,Tarvaris Jackson kneels for -1 yards,1.720,0.890
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
