Quarter,Time,Tm,Detail,HOU,CAR
1.0,7:57,Texans,Randy Bullock 43 yard field goal,3,0
2.0,11:22,Panthers,Ted Ginn Jr. 25 yard pass from Cam Newton (Graham Gano kick),3,7
,5:26,Panthers,Graham Gano 28 yard field goal,3,10
3.0,8:29,Texans,Garrett Graham 7 yard pass from Ryan Mallett (Randy Bullock kick),10,10
,1:04,Panthers,Cam Newton 2 yard rush (Graham Gano kick),10,17
4.0,8:53,Panthers,Corey Brown 36 yard pass from Cam Newton (Graham Gano kick),10,24
,6:31,Texans,Ryan Mallett 6 yard rush (Randy Bullock kick),17,24
