Quarter,Time,Tm,Detail,CLE,HOU
1.0,10:57,Texans,Ka'imi Fairbairn 40 yard field goal,0,3
,3:15,Browns,Zane Gonzalez 41 yard field goal,3,3
,0:41,Texans,Will Fuller 39 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),3,10
2.0,11:08,Texans,Johnathan Joseph 82 yard interception return (Ka'imi Fairbairn kick failed),3,16
,3:04,Texans,Braxton Miller 1 yard pass from Deshaun Watson (Ryan Griffin pass from Deshaun Watson),3,24
3.0,10:10,Texans,"Safety, Kevin Hogan penalty in end zone",3,26
,4:05,Texans,DeAndre Hopkins 3 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),3,33
4.0,13:27,Browns,Jason McCourty 56 yard interception return (Zane Gonzalez kick),10,33
,1:03,Browns,Seth Devalve 3 yard pass from Kevin Hogan (Zane Gonzalez kick),17,33
