Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Texans won the coin toss, Texans to receive the opening kickoff.",,
1,15:00,,,CLE 35,0,0,"Zane Gonzalez kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,HOU 25,0,0,Deshaun Watson pass complete short right to Stephen Anderson for 8 yards (tackle by Jason McCourty and Joe Schobert),0.610,1.140
1,14:35,2,2,HOU 33,0,0,Lamar Miller middle for 1 yard (tackle by Danny Shelton),1.140,0.560
1,14:04,3,1,HOU 34,0,0,Deshaun Watson right end for 8 yards (tackle by Joe Schobert),0.560,1.730
1,13:26,1,10,HOU 42,0,0,Deshaun Watson pass complete short middle to Ryan Griffin for 18 yards (tackle by Joe Schobert and Jabrill Peppers),1.730,2.920
1,13:05,1,10,CLE 40,0,0,Lamar Miller middle for 9 yards (tackle by Jamie Collins and Joe Schobert),2.920,3.590
1,12:25,2,1,CLE 31,0,0,Lamar Miller right guard for 4 yards (tackle by Briean Boddy-Calhoun and Joe Schobert),3.590,3.780
1,11:46,1,10,CLE 27,0,0,Deshaun Watson pass incomplete short right intended for Bruce Ellington,3.780,3.230
1,11:41,2,10,CLE 27,0,0,Lamar Miller left guard for 4 yards (tackle by Jamie Meder and Jamie Collins),3.230,3.070
1,11:05,3,6,CLE 23,0,0,Deshaun Watson pass incomplete short left intended for Will Fuller (defended by Jamar Taylor),3.070,1.950
1,11:01,4,6,CLE 23,0,3,Ka'imi Fairbairn 40 yard field goal good,1.950,3.000
1,10:57,,,HOU 35,0,3,"Ka'imi Fairbairn kicks off 65 yards, touchback",0.000,-0.610
1,10:57,1,10,CLE 25,0,3,Kevin Hogan pass complete short left to Kasen Williams for 10 yards (tackle by Marcus Gilchrist),0.610,1.270
1,10:25,1,10,CLE 35,0,3,Isaiah Crowell right guard for 4 yards (tackle by Jadeveon Clowney),1.270,1.260
1,9:54,2,6,CLE 39,0,3,Isaiah Crowell left end for no gain (tackle by Kareem Jackson and Brennan Scarlett),1.260,0.560
1,9:13,3,6,CLE 39,0,3,Kevin Hogan middle for 7 yards (tackle by Benardrick McKinney),0.560,1.990
1,8:25,1,10,CLE 46,0,3,Kevin Hogan pass complete short right to David Njoku for 3 yards (tackle by Benardrick McKinney),1.990,1.860
1,7:36,2,7,CLE 49,0,3,"Kevin Hogan pass complete short left to Kasen Williams for 14 yards (tackle by Marcus Gilchrist and Andre Hal). Penalty on Isaiah Crowell: Illegal Block Above the Waist, 10 yards",1.860,2.400
1,7:00,2,3,HOU 47,0,3,Kevin Hogan pass complete short right to Duke Johnson for -4 yards (tackle by Dylan Cole),2.400,1.160
1,6:16,3,7,CLE 49,0,3,Kevin Hogan pass incomplete short right intended for Bryce Treggs (defended by Johnathan Joseph),1.160,-0.130
1,6:05,4,7,CLE 49,0,3,Britton Colquitt punts 47 yards,-0.130,0.380
1,6:00,1,10,HOU 4,0,3,Lamar Miller right tackle for 1 yard (tackle by Christian Kirksey),-0.380,-0.710
1,5:33,2,9,HOU 5,0,3,"Penalty on Breno Giacomini: False Start, 2 yards (no play)",-0.710,-0.850
1,5:10,2,11,HOU 3,0,3,Deshaun Watson pass incomplete short left intended for Ryan Griffin,-0.850,-1.540
1,5:05,3,11,HOU 3,0,3,Deshaun Watson pass incomplete short middle intended for Ryan Griffin,-1.540,-2.490
1,5:00,4,11,HOU 3,0,3,"Shane Lechler punts 41 yards, returned by Jabrill Peppers for 17 yards (tackle by Dylan Cole)",-2.490,-3.780
1,4:49,1,10,HOU 27,0,3,Isaiah Crowell left guard for no gain (tackle by Joel Heath and Carlos Watkins),3.780,3.230
1,4:08,2,10,HOU 27,0,3,Kevin Hogan right end for 4 yards (tackle by Zach Cunningham),3.230,3.070
1,3:23,3,6,HOU 23,0,3,Kevin Hogan pass incomplete short right intended for David Njoku,3.070,1.950
1,3:19,4,6,HOU 23,3,3,Zane Gonzalez 41 yard field goal good,1.950,3.000
1,3:15,,,CLE 35,3,3,"Zane Gonzalez kicks off 71 yards, returned by Chris Thompson for 19 yards (tackle by Mike Jordan)",0.000,0.320
1,3:10,1,10,HOU 13,3,3,Deshaun Watson pass complete short left to DeAndre Hopkins for 16 yards (tackle by Jabrill Peppers),-0.320,0.870
1,2:38,1,10,HOU 29,3,3,D'Onta Foreman middle for 3 yards (tackle by Jamie Collins and Myles Garrett),0.870,0.730
1,2:07,2,7,HOU 32,3,3,Deshaun Watson pass complete short left to Ryan Griffin for 21 yards (tackle by Joe Schobert),0.730,2.460
1,1:35,1,10,CLE 47,3,3,D'Onta Foreman right tackle for 3 yards (tackle by Larry Ogunjobi),2.460,2.320
1,1:05,2,7,CLE 44,3,3,"Penalty on Larry Ogunjobi: Encroachment, 5 yards (no play)",2.320,2.990
1,0:48,2,2,CLE 39,3,9,"Deshaun Watson pass complete deep right to Will Fuller for 39 yards, touchdown",2.990,7.000
1,0:41,,,CLE 15,3,10,Ka'imi Fairbairn kicks extra point good,0.000,0.000
1,0:41,,,HOU 35,3,10,"Ka'imi Fairbairn kicks off 65 yards, touchback",0.000,-0.610
1,0:41,1,10,CLE 25,3,10,Isaiah Crowell middle for 5 yards (tackle by Benardrick McKinney and Jadeveon Clowney),0.610,0.740
1,0:04,2,5,CLE 30,3,10,Kevin Hogan pass complete deep left to Bryce Treggs for 20 yards,0.740,2.260
Quarter,Time,Down,ToGo,Location,CLE,HOU,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,,3,10,Isaiah Crowell right tackle for 8 yards (tackle by Brennan Scarlett),2.260,2.790
2,14:33,2,2,HOU 42,3,10,Isaiah Crowell left end for 14 yards (tackle by Johnathan Joseph),2.790,3.710
2,13:51,1,10,HOU 28,3,10,Duke Johnson right end for 6 yards (tackle by Jadeveon Clowney),3.710,3.980
2,13:18,2,4,HOU 22,3,10,Duke Johnson middle for 3 yards (tackle by Brennan Scarlett and D.J. Reader),3.980,3.720
2,12:38,3,1,HOU 19,3,10,Duke Johnson middle for 2 yards (tackle by D.J. Reader),3.720,4.440
2,11:51,1,10,HOU 17,3,10,"Penalty on Kevin Hogan: Delay of Game, 5 yards (no play)",4.440,4.110
