Unnamed: 0,CLE,HOU
First Downs,16,18
Rush-Yds-TDs,22-134-0,33-123-0
Cmp-Att-Yd-TD-INT,20-37-140-1-3,17-29-225-3-1
Sacked-Yards,4-27,1-8
Net Pass Yards,113,217
Total Yards,247,340
Fumbles-Lost,1-0,0-0
Turnovers,3,1
Penalties-Yards,11-72,4-44
Third Down Conv.,3-14,5-13
Fourth Down Conv.,0-0,0-0
Time of Possession,30:56,29:04
