Quarter,Time,Tm,Detail,NWE,OAK
1.0,10:23,Patriots,Kevin Faulk 7 yard pass from Matt Cassel (Stephen Gostkowski kick),7,0
,7:57,Patriots,Randy Moss 20 yard pass from Matt Cassel (Stephen Gostkowski kick),14,0
,3:43,Patriots,Sammy Morris 29 yard rush (Stephen Gostkowski kick),21,0
,1:34,Raiders,Johnnie Lee Higgins 56 yard pass from JaMarcus Russell (Sebastian Janikowski kick),21,7
2.0,13:12,Patriots,Wes Welker 13 yard pass from Matt Cassel (Stephen Gostkowski kick),28,7
,12:59,Raiders,Justin Miller 91 yard kickoff return (Sebastian Janikowski kick),28,14
,12:46,Patriots,Ellis Hobbs 95 yard kickoff return (Stephen Gostkowski kick),35,14
3.0,11:36,Patriots,Randy Moss 9 yard pass from Matt Cassel (Stephen Gostkowski kick),42,14
,5:01,Raiders,Ronald Curry 10 yard pass from JaMarcus Russell (Sebastian Janikowski kick failed),42,20
4.0,6:09,Patriots,LaMont Jordan 49 yard rush (Stephen Gostkowski kick),49,20
,1:53,Raiders,Darren McFadden 11 yard rush (pass failed),49,26
