Unnamed: 0,HOU,PHI
First Downs,12,21
Rush-Yds-TDs,24-91-0,29-102-2
Cmp-Att-Yd-TD-INT,16-29-188-2-2,25-44-316-2-1
Sacked-Yards,7-37,3-27
Net Pass Yards,151,289
Total Yards,242,391
Fumbles-Lost,2-1,4-2
Turnovers,3,3
Penalties-Yards,11-83,4-32
Third Down Conv.,3-15,8-17
Fourth Down Conv.,1-2,1-1
Time of Possession,26:36,33:24
