Unnamed: 0,SFO,SDG
First Downs,21,26
Rush-Yds-TDs,31-136-0,28-105-0
Cmp-Att-Yd-TD-INT,25-43-337-2-1,29-50-336-2-1
Sacked-Yards,1-6,0-0
Net Pass Yards,331,336
Total Yards,467,441
Fumbles-Lost,0-0,1-0
Turnovers,1,1
Penalties-Yards,8-71,5-36
Third Down Conv.,8-18,4-14
Fourth Down Conv.,1-1,1-1
Time of Possession,35:41,35:08
