Quarter,Time,Tm,Detail,SFO,SDG
1,0:40,Chargers,Reche Caldwell 4 yard pass from Drew Brees (Steve Christie kick),0,7
2,1:04,49ers,Terrell Owens 32 yard pass from Jeff Garcia (Jose Cortez kick),7,7
3,14:06,49ers,Terrell Owens 76 yard pass from Jeff Garcia (Jose Cortez kick),14,7
,6:38,49ers,Jose Cortez 24 yard field goal,17,7
4,5:05,Chargers,Steve Christie 36 yard field goal,17,10
,0:31,Chargers,Fred McCrary 1 yard pass from Drew Brees (Steve Christie kick),17,17
OT,4:11,Chargers,Steve Christie 40 yard field goal,17,20
