Unnamed: 0,ARI,WAS
First Downs,16,28
Rush-Yds-TDs,15-93-1,35-172-0
Cmp-Att-Yd-TD-INT,17-30-251-2-1,25-43-291-2-2
Sacked-Yards,3-20,1-8
Net Pass Yards,231,283
Total Yards,324,455
Fumbles-Lost,3-1,0-0
Turnovers,2,2
Penalties-Yards,10-97,3-15
Third Down Conv.,3-9,6-17
Fourth Down Conv.,0-0,1-1
Time of Possession,21:30,38:30
