Quarter,Time,Tm,Detail,ARI,WAS
1.0,3:54,Cardinals,Jeff King 21 yard pass from Kevin Kolb (Jay Feely kick),7,0
2.0,10:25,Redskins,Graham Gano 26 yard field goal,7,3
,3:04,Redskins,Fred Davis 1 yard pass from Rex Grossman (Graham Gano kick),7,10
3.0,2:47,Cardinals,Beanie Wells 2 yard rush (Jay Feely kick),14,10
4.0,11:18,Redskins,Graham Gano 23 yard field goal,14,13
,10:58,Cardinals,Larry Fitzgerald 73 yard pass from Kevin Kolb (Jay Feely kick),21,13
,5:17,Redskins,Santana Moss 18 yard pass from Rex Grossman (run failed),21,19
,1:45,Redskins,Graham Gano 34 yard field goal,21,22
