Unnamed: 0,NOR,CAR
First Downs,22,11
Rush-Yds-TDs,39-113-1,18-43-0
Cmp-Att-Yd-TD-INT,24-36-260-3-1,18-36-161-0-3
Sacked-Yards,0-0,1-9
Net Pass Yards,260,152
Total Yards,373,195
Fumbles-Lost,0-0,2-1
Turnovers,1,4
Penalties-Yards,5-76,5-35
Third Down Conv.,11-18,3-13
Fourth Down Conv.,0-0,0-2
Time of Possession,39:23,20:37
