Unnamed: 0,SFO,KAN
First Downs,21,26
Rush-Yds-TDs,22-141-1,29-129-2
Cmp-Att-Yd-TD-INT,20-31-219-1-2,26-42-286-2-2
Sacked-Yards,1-9,4-18
Net Pass Yards,210,268
Total Yards,351,397
Fumbles-Lost,1-0,3-0
Turnovers,2,2
Penalties-Yards,5-45,4-24
Third Down Conv.,3-8,6-14
Fourth Down Conv.,0-1,2-3
Time of Possession,26:47,33:13
