Quarter,Time,Tm,Detail,SFO,KAN
1.0,7:57,49ers,Robbie Gould 38 yard field goal,3,0
,0:31,Chiefs,Patrick Mahomes 1 yard rush (Harrison Butker kick),3,7
2.0,9:32,Chiefs,Harrison Butker 31 yard field goal,3,10
,5:05,49ers,Kyle Juszczyk 15 yard pass from Jimmy Garoppolo (Robbie Gould kick),10,10
3.0,9:29,49ers,Robbie Gould 42 yard field goal,13,10
,2:35,49ers,Raheem Mostert 1 yard rush (Robbie Gould kick),20,10
4.0,6:13,Chiefs,Travis Kelce 1 yard pass from Patrick Mahomes (Harrison Butker kick),20,17
,2:44,Chiefs,Damien Williams 5 yard pass from Patrick Mahomes (Harrison Butker kick),20,24
,1:12,Chiefs,Damien Williams 38 yard rush (Harrison Butker kick),20,31
