Unnamed: 0,SFO,PHI
First Downs,13,21
Rush-Yds-TDs,18-107-0,33-116-2
Cmp-Att-Yd-TD-INT,20-37-177-1-3,21-36-306-1-2
Sacked-Yards,3-23,0-0
Net Pass Yards,154,306
Total Yards,261,422
Fumbles-Lost,2-1,0-0
Turnovers,4,2
Penalties-Yards,8-55,4-69
Third Down Conv.,0-11,6-14
Fourth Down Conv.,3-4,0-1
Time of Possession,28:57,31:03
