Unnamed: 0,ARI,MIN
First Downs,21,12
Rush-Yds-TDs,26-126-1,27-166-1
Cmp-Att-Yd-TD-INT,25-36-262-1-1,8-17-58-1-2
Sacked-Yards,7-32,3-15
Net Pass Yards,230,43
Total Yards,356,209
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,9-82,7-35
Third Down Conv.,5-14,1-10
Fourth Down Conv.,0-2,1-1
Time of Possession,35:05,24:55
