Quarter,Time,Tm,Detail,ARI,MIN
1.0,8:38,Vikings,Adrian Peterson 13 yard rush (Blair Walsh kick),0,7
2.0,12:41,Cardinals,LaRod Stephens-Howling 3 yard rush (Jay Feely kick),7,7
,6:26,Vikings,Percy Harvin 3 yard pass from Christian Ponder (Blair Walsh kick),7,14
3.0,14:03,Vikings,Harrison Smith 31 yard interception return (Blair Walsh kick),7,21
4.0,1:48,Cardinals,Andre Roberts 6 yard pass from John Skelton (Jay Feely kick),14,21
