Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 68 yards, returned by Percy Harvin for 19 yards. Penalty on Marvin Mitchell: Illegal Block Above the Waist, 8 yards",0.000,-0.380
1,14:48,1,10,MIN 8,0,0,"Adrian Peterson right tackle for 2 yards (tackle by Calais Campbell). Penalty on John Sullivan: Offensive Holding, 4 yards (no play)",-0.380,-0.530
1,14:32,1,14,MIN 4,0,0,Adrian Peterson right tackle for 2 yards (tackle by Adrian Wilson),-0.530,-0.930
1,13:56,2,12,MIN 6,0,0,Christian Ponder pass incomplete short left intended for Adrian Peterson,-0.930,-1.650
1,13:50,3,12,MIN 6,0,0,Christian Ponder pass complete short left to Michael Jenkins for 7 yards (tackle by Patrick Peterson and William Gay),-1.650,-2.490
1,13:12,4,5,MIN 13,0,0,Chris Kluwe punts 35 yards,-2.490,-2.390
1,13:03,1,10,MIN 48,0,0,John Skelton pass complete short right to Larry Fitzgerald for 2 yards (tackle by Antoine Winfield),2.390,2.120
1,12:30,2,8,MIN 46,0,0,LaRod Stephens-Howling up the middle for no gain (tackle by Erin Henderson),2.120,1.420
1,11:50,3,8,MIN 46,0,0,John Skelton pass incomplete short middle intended for Early Doucet,1.420,0.200
1,11:43,4,8,MIN 46,0,0,"Dave Zastudil punts 34 yards, fair catch by Marcus Sherels",0.200,0.350
1,11:35,1,10,MIN 12,0,0,Adrian Peterson left tackle for 27 yards (tackle by Adrian Wilson and James Sanders),-0.350,1.530
1,10:54,1,10,MIN 39,0,0,Adrian Peterson right guard for 6 yards (tackle by Paris Lenon and Sam Acho),1.530,1.800
1,10:12,2,4,MIN 45,0,0,Percy Harvin up the middle for 5 yards (tackle by Daryl Washington),1.800,2.260
1,9:31,1,10,,0,0,Christian Ponder pass complete short right to Jerome Simpson for 8 yards (tackle by Jamell Fleming),2.260,2.790
1,8:53,2,2,ARI 42,0,0,"Christian Ponder pass incomplete deep right intended for Jerome Simpson. Penalty on William Gay: Defensive Pass Interference, 29 yards (no play)",2.790,4.710
1,8:46,1,10,ARI 13,0,6,"Adrian Peterson left end for 13 yards, touchdown",4.710,7.000
1,8:46,,,ARI 2,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,8:38,,,MIN 35,0,7,"Blair Walsh kicks off 66 yards, returned by William Powell for 14 yards (tackle by Rhett Ellison). William Powell fumbles (forced by Rhett Ellison), recovered by Early Doucet at ARI-12",0.000,-0.350
1,8:32,1,10,ARI 12,0,7,LaRod Stephens-Howling left end for 16 yards (tackle by Jamarca Sanford),-0.350,0.810
1,7:51,1,10,ARI 28,0,7,John Skelton pass complete short middle to Rob Housler for 9 yards (tackle by Antoine Winfield),0.810,1.480
1,7:16,2,1,ARI 37,0,7,John Skelton pass complete short right to Michael Floyd for 7 yards (tackle by Harrison Smith),1.480,1.860
1,6:37,1,10,ARI 44,0,7,LaRod Stephens-Howling left guard for 3 yards (tackle by Letroy Guion),1.860,1.720
1,6:03,2,7,ARI 47,0,7,LaRod Stephens-Howling up the middle for no gain (tackle by Antoine Winfield),1.720,1.030
1,5:25,3,7,ARI 47,0,7,John Skelton pass complete short left to Andre Roberts for 14 yards (tackle by Harrison Smith),1.030,2.980
1,4:45,1,10,MIN 39,0,7,John Skelton pass incomplete deep right intended for Larry Fitzgerald,2.980,2.440
1,4:39,2,10,MIN 39,0,7,LaRod Stephens-Howling up the middle for 6 yards (tackle by Jasper Brinkley and Erin Henderson),2.440,2.540
1,3:58,3,4,MIN 33,0,7,John Skelton pass complete short right to Larry Fitzgerald for 4 yards (tackle by Chris Cook),2.540,3.640
1,3:16,1,10,MIN 29,0,7,LaRod Stephens-Howling up the middle for 4 yards (tackle by Jasper Brinkley),3.640,0.000
1,2:38,,,,0,7,Timeout #1 by Arizona Cardinals,0.000,3.640
1,2:38,2,6,MIN 25,0,7,LaRod Stephens-Howling left tackle for 4 yards (tackle by Jared Allen and Brian Robison),3.640,3.470
1,1:57,3,2,MIN 21,0,7,John Skelton pass complete short middle to Larry Fitzgerald for 7 yards (tackle by Antoine Winfield),3.470,4.650
1,1:19,1,10,MIN 14,0,7,LaRod Stephens-Howling right end for no gain (tackle by Brian Robison),4.650,4.000
1,0:31,2,10,MIN 14,0,7,"John Skelton sacked by Brian Robison for -5 yards. John Skelton fumbles (forced by Brian Robison), recovered by Kevin Williams at MIN-16",4.000,0.140
1,0:20,1,10,MIN 16,0,7,Adrian Peterson left end for -3 yards (tackle by Calais Campbell and Sam Acho),-0.140,-0.990
Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,13,MIN 13,0,7,Christian Ponder pass incomplete short right intended for Kyle Rudolph is intercepted by Paris Lenon at MIN-16,-0.990,-4.510
2,14:51,1,10,MIN 16,0,7,John Skelton pass complete short right to Early Doucet for 8 yards (tackle by Harrison Smith),4.510,5.350
2,14:11,2,2,MIN 8,0,7,LaRod Stephens-Howling left guard for 5 yards (tackle by Chad Greenway),5.350,6.510
2,13:32,1,3,MIN 3,0,7,LaRod Stephens-Howling up the middle for no gain (tackle by Chad Greenway and Letroy Guion),6.510,5.530
2,12:47,2,3,MIN 3,6,7,"LaRod Stephens-Howling up the middle for 3 yards, touchdown",5.530,7.000
2,12:47,,,MIN 2,7,7,Jay Feely kicks extra point good,0.000,0.000
2,12:41,,,ARI 35,7,7,"Jay Feely kicks off 65 yards, returned by Percy Harvin for 28 yards (tackle by Michael Adams)",0.000,0.810
2,12:36,1,10,MIN 28,7,7,Adrian Peterson left tackle for 8 yards (tackle by James Sanders),0.810,1.340
2,11:56,2,2,MIN 36,7,7,Christian Ponder pass complete short right to Percy Harvin for 14 yards (tackle by Sam Acho),1.340,2.260
2,11:16,1,10,,7,7,Adrian Peterson left tackle for 17 yards (tackle by James Sanders),2.260,3.380
2,10:38,1,10,ARI 33,7,7,Adrian Peterson up the middle for 12 yards (tackle by Paris Lenon and James Sanders),3.380,4.170
2,9:49,1,10,ARI 21,7,7,Christian Ponder sacked by Daryl Washington for -8 yards,4.170,2.550
2,9:22,2,18,ARI 29,7,7,Christian Ponder pass complete short right to Percy Harvin for 14 yards (tackle by Patrick Peterson),2.550,0.000
2,8:29,,,,7,7,Timeout #1 by Minnesota Vikings,0.000,3.810
2,8:28,3,4,ARI 15,7,7,"Christian Ponder pass incomplete short left intended for Toby Gerhart. Penalty on Darnell Dockett: Defensive Holding, 5 yards (no play)",3.810,4.910
2,8:25,1,10,ARI 10,7,7,"Penalty on Stephen Burton: False Start, 5 yards (no play)",4.910,4.370
2,8:25,1,15,ARI 15,7,7,Adrian Peterson up the middle for 3 yards (tackle by Daryl Washington),4.370,3.860
2,7:47,2,12,ARI 12,7,7,"Christian Ponder pass incomplete short middle intended for Percy Harvin. Penalty on Patrick Peterson: Defensive Pass Interference, 3 yards (no play)",3.860,5.140
2,7:43,1,9,ARI 9,7,7,Adrian Peterson up the middle for 1 yard (tackle by Paris Lenon and Sam Acho),5.140,4.570
2,7:09,2,8,ARI 8,7,7,Percy Harvin up the middle for 5 yards (tackle by Adrian Wilson and James Sanders),4.570,4.720
2,6:31,3,3,ARI 3,7,13,"Christian Ponder pass complete short right to Percy Harvin for 3 yards, touchdown",4.720,7.000
2,6:31,,,ARI 2,7,14,Blair Walsh kicks extra point good,0.000,0.000
2,6:26,,,MIN 35,7,14,"Blair Walsh kicks off 72 yards, touchback",0.000,0.280
2,6:26,1,10,ARI 20,7,14,"Penalty on Daryn Colledge: False Start, 5 yards (no play)",0.280,-0.310
2,6:26,1,15,ARI 15,7,14,William Powell right guard for 3 yards (tackle by Brian Robison),-0.310,-0.630
2,5:47,2,12,ARI 18,7,14,John Skelton pass complete deep middle to Rob Housler for 22 yards (tackle by Harrison Smith),-0.630,1.600
2,5:14,1,10,ARI 40,7,14,William Powell left end for 7 yards (tackle by Harrison Smith and Fred Evans),1.600,2.000
2,4:31,2,3,ARI 47,7,14,LaRod Stephens-Howling left guard for 1 yard (tackle by Chad Greenway),2.000,1.420
2,4:03,3,2,ARI 48,7,14,John Skelton pass incomplete short middle intended for Larry Fitzgerald,1.420,-0.190
2,3:59,4,2,ARI 48,7,14,"Dave Zastudil punts 46 yards, returned by Marcus Sherels for no gain. Penalty on A.J. Jefferson: Offensive Holding, 3 yards",-0.190,0.380
2,3:49,1,10,MIN 3,7,14,Adrian Peterson left guard for 6 yards (tackle by Daryl Washington),-0.380,-0.340
2,3:15,2,4,MIN 9,7,14,Christian Ponder pass complete short right to Adrian Peterson for 2 yards (tackle by Quentin Groves),-0.340,-0.480
2,2:34,3,2,MIN 11,7,14,Toby Gerhart up the middle for 1 yard (tackle by Vonnie Holliday),-0.480,-2.490
2,2:00,4,1,MIN 12,7,14,"Chris Kluwe punts 38 yards, fair catch by Patrick Peterson. Penalty on Tyrone McKenzie: Ineligible Downfield Kick, 5 yards",-2.490,-2.590
2,1:51,1,10,MIN 45,7,14,John Skelton pass complete short right to Early Doucet for 5 yards,2.590,2.720
2,1:46,2,5,MIN 40,7,14,John Skelton sacked by Brian Robison for -7 yards,2.720,1.090
2,1:01,3,12,MIN 47,7,14,John Skelton pass incomplete short left intended for LaRod Stephens-Howling,1.090,0.130
2,0:58,4,12,MIN 47,7,14,"Dave Zastudil punts 34 yards, fair catch by Marcus Sherels",0.130,0.320
2,0:50,1,10,MIN 13,7,14,Christian Ponder up the middle for 2 yards (tackle by Darnell Dockett),-0.320,-0.570
2,0:19,2,8,MIN 15,7,14,Christian Ponder pass complete short left to Percy Harvin for 6 yards (tackle by Daryl Washington),-0.570,0.000
2,0:14,,,,7,14,Timeout #2 by Minnesota Vikings,0.000,-0.470
2,0:14,3,2,MIN 21,7,14,Christian Ponder pass incomplete short left intended for Adrian Peterson is intercepted by Sam Acho at MIN-29,-0.470,-3.640
,,,,,,,"Replay Assistant challenged the pass completion ruling, and the play was upheld.",,
2,0:05,1,10,MIN 29,7,14,Jay Feely 47 yard field goal no good,3.640,1.330
Quarter,Time,Down,ToGo,Location,ARI,MIN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,7,14,"Blair Walsh kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,ARI 20,7,14,LaRod Stephens-Howling right end for 4 yards (tackle by Jasper Brinkley),0.280,0.270
3,14:23,2,6,ARI 24,7,14,John Skelton pass incomplete short left intended for Rob Housler,0.270,-0.430
3,14:17,3,6,ARI 24,7,20,"John Skelton pass incomplete short middle intended for Early Doucet is intercepted by Harrison Smith at ARI-31 and returned for 31 yards, touchdown",-0.430,-7.000
3,,,,ARI 2,7,21,Blair Walsh kicks extra point good,0.000,0.000
3,14:03,,,MIN 35,7,21,"Blair Walsh kicks off 73 yards, touchback",0.000,0.280
3,14:03,1,10,ARI 20,7,21,LaRod Stephens-Howling left end for 27 yards (tackle by Jasper Brinkley),0.280,2.060
3,13:22,1,10,ARI 47,7,21,"Penalty on Bobby Massie: False Start, 5 yards (no play)",2.060,1.730
3,13:07,1,15,ARI 42,7,21,Early Doucet right end for 6 yards (tackle by Jasper Brinkley),1.730,1.650
3,12:32,2,9,ARI 48,7,21,John Skelton pass complete short middle to Rob Housler for 7 yards (tackle by Letroy Guion),1.650,1.880
3,11:44,3,2,MIN 45,7,21,John Skelton pass complete short right to Rob Housler for 7 yards (tackle by Josh Robinson). Penalty on Jared Allen: Defensive Offside (Declined),1.880,3.050
3,11:16,1,10,MIN 38,7,21,John Skelton pass incomplete deep right intended for Andre Roberts,3.050,2.510
3,11:10,2,10,MIN 38,7,21,LaRod Stephens-Howling up the middle for 7 yards (tackle by Jamarca Sanford),2.510,2.740
3,10:26,3,3,MIN 31,7,21,"John Skelton pass incomplete deep middle intended for Larry Fitzgerald is intercepted by Chris Cook at MIN-1 and returned for 61 yards (tackle by John Skelton). Penalty on Brian Robison: Defensive Offside, 5 yards (no play)",2.740,3.840
3,10:06,1,10,MIN 26,7,21,William Powell left guard for 3 yards (tackle by Chad Greenway),3.840,3.700
3,9:22,2,7,MIN 23,7,21,John Skelton pass complete short right to LaRod Stephens-Howling for no gain,3.700,3.010
3,8:38,3,7,MIN 23,7,21,John Skelton pass complete short right to William Powell for 5 yards (tackle by Jasper Brinkley),3.010,2.370
3,7:47,4,2,MIN 18,7,21,John Skelton sacked by Antoine Winfield for 0 yards,2.370,-0.150
3,7:41,1,10,MIN 19,7,21,"Christian Ponder pass complete short right to Kyle Rudolph for 19 yards (tackle by Rashad Johnson). Penalty on MIN: Illegal Formation, 5 yards (no play)",0.150,-0.390
3,7:19,1,15,MIN 14,7,21,Adrian Peterson up the middle for 4 yards (tackle by Paris Lenon and Daryl Washington),-0.390,-0.560
3,6:41,2,11,MIN 18,7,21,Adrian Peterson left guard for 22 yards (tackle by Adrian Wilson),-0.560,1.600
3,5:57,1,10,MIN 40,7,21,Christian Ponder pass incomplete short right,1.600,1.050
3,5:50,2,10,MIN 40,7,21,Christian Ponder pass incomplete short left intended for Percy Harvin,1.050,0.370
3,5:40,3,10,MIN 40,7,21,Christian Ponder pass incomplete short right intended for Kyle Rudolph,0.370,-0.720
3,5:35,4,10,MIN 40,7,21,"Chris Kluwe punts 46 yards, returned by Patrick Peterson for 5 yards (tackle by Andrew Sendejo)",-0.720,-0.150
3,5:24,1,10,ARI 19,7,21,John Skelton pass incomplete deep middle intended for Rob Housler,0.150,-0.390
3,5:19,2,10,ARI 19,7,21,Early Doucet up the middle for 3 yards (tackle by Antoine Winfield),-0.390,-0.680
3,4:38,3,7,ARI 22,7,21,John Skelton sacked by Jared Allen for -4 yards,-0.680,-2.240
3,4:08,4,11,ARI 18,7,21,Dave Zastudil punts 52 yards,-2.240,-0.940
3,3:56,1,10,MIN 30,7,21,Christian Ponder pass complete short left to Adrian Peterson for 4 yards (tackle by Quentin Groves),0.940,0.930
3,3:24,2,6,MIN 34,7,21,Adrian Peterson left guard for 4 yards (tackle by Daryl Washington),0.930,0.760
3,2:46,3,2,MIN 38,7,21,Christian Ponder pass incomplete short right intended for Kyle Rudolph (defended by Adrian Wilson),0.760,-0.850
3,2:41,4,2,MIN 38,7,21,"Chris Kluwe punts 36 yards, out of bounds",-0.850,-0.670
3,2:34,1,10,ARI 26,7,21,LaRod Stephens-Howling up the middle for -4 yards (tackle by Chad Greenway),0.670,-0.410
3,1:53,2,14,ARI 22,7,21,John Skelton pass complete short left to Andre Roberts for 16 yards (tackle by Jamarca Sanford),-0.410,1.470
3,1:08,1,10,ARI 38,7,21,LaRod Stephens-Howling up the middle for 4 yards (tackle by Kevin Williams),1.470,1.460
3,0:27,2,6,ARI 42,7,21,LaRod Stephens-Howling left tackle for 11 yards (tackle by Jamarca Sanford),1.460,2.460
