Quarter,Time,Tm,Detail,DAL,ARI
1,4:13,Cardinals,Jay Feely 48 yard field goal,0,3
2,5:50,Cowboys,Dan Bailey 50 yard field goal,3,3
,3:09,Cowboys,Dez Bryant 5 yard pass from Tony Romo (Dan Bailey kick),10,3
3,8:18,Cardinals,Jay Feely 23 yard field goal,10,6
,0:34,Cowboys,Dan Bailey 37 yard field goal,13,6
4,13:08,Cardinals,Beanie Wells 4 yard rush (Jay Feely kick),13,13
OT,11:43,Cardinals,LaRod Stephens-Howling 52 yard pass from Kevin Kolb,13,19
