Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Jay Feely kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,DAL 20,0,0,DeMarco Murray up the middle for 7 yards (tackle by Adrian Wilson),0.280,0.680
1,14:27,2,3,DAL 27,0,0,DeMarco Murray left end for 3 yards (tackle by Nick Eason),0.680,0.940
1,13:44,1,10,DAL 30,0,0,"Penalty on Tyron Smith: False Start, 5 yards (no play)",0.940,0.610
1,13:22,1,15,DAL 25,0,0,Tony Romo pass complete short left to Dez Bryant for 24 yards (tackle by Rashad Johnson),0.610,2.190
1,12:57,1,10,DAL 49,0,0,DeMarco Murray up the middle for 5 yards (tackle by Daryl Washington),2.190,2.320
1,12:11,2,5,ARI 46,0,0,Tony Romo pass incomplete deep left intended for Dez Bryant,2.320,1.620
1,12:05,3,5,ARI 46,0,0,Tony Romo pass incomplete deep left intended for Kevin Ogletree,1.620,0.200
1,12:00,4,5,ARI 46,0,0,"Mat McBriar punts 35 yards, fair catch by Patrick Peterson",0.200,0.370
1,11:53,1,10,ARI 11,0,0,Chris Wells left tackle for 5 yards (tackle by Anthony Spencer),-0.370,-0.300
1,11:12,2,5,ARI 16,0,0,Kevin Kolb pass complete short right to Andre Roberts for 4 yards (tackle by DeMarcus Ware),-0.300,-0.370
1,10:35,3,1,ARI 20,0,0,Chris Wells up the middle for -1 yards (tackle by Jay Ratliff),-0.370,-2.140
1,10:03,4,2,ARI 19,0,0,"Dave Zastudil punts 49 yards, fair catch by Dez Bryant. Penalty on Michael Adams: Fair Catch Interference, 12 yards",-2.140,-1.860
1,9:55,1,10,DAL 44,0,0,DeMarco Murray left tackle for 7 yards (tackle by Daryl Washington),1.860,2.260
1,9:25,2,3,ARI 49,0,0,Felix Jones left tackle for 5 yards (tackle by Paris Lenon),2.260,2.650
1,8:47,1,10,ARI 44,0,0,Felix Jones up the middle for 7 yards (tackle by Daryl Washington and Paris Lenon),2.650,3.060
1,8:11,2,3,ARI 37,0,0,Felix Jones up the middle for 1 yard (tackle by Darnell Dockett),3.060,2.480
1,7:27,3,2,ARI 36,0,0,Tony Romo pass incomplete short left intended for John Phillips (defended by Calais Campbell),2.480,0.890
1,7:21,,,,0,0,Timeout #1 by Dallas Cowboys,0.000,0.890
1,7:21,4,2,ARI 36,0,0,Dan Bailey 53 yard field goal no good,0.890,-1.800
1,7:16,1,10,ARI 43,0,0,Kevin Kolb pass complete short right to Andre Roberts for 15 yards (tackle by Terence Newman),1.800,2.790
1,6:39,1,10,DAL 42,0,0,LaRod Stephens-Howling up the middle for 15 yards (tackle by Gerald Sensabaugh),2.790,3.780
1,5:59,1,10,DAL 27,0,0,Kevin Kolb sacked by Jay Ratliff for -1 yards,3.780,3.100
1,5:29,2,11,DAL 28,0,0,Chris Wells up the middle for 3 yards (tackle by Sean Lee),3.100,2.810
1,4:47,3,8,DAL 25,0,0,"Penalty on Larry Fitzgerald: False Start, 5 yards (no play)",2.810,2.150
1,4:23,3,13,DAL 30,0,0,Kevin Kolb pass incomplete deep middle intended for Rob Housler,2.150,1.410
1,4:18,4,13,DAL 30,0,3,Jay Feely 48 yard field goal good,1.410,3.000
1,,,,ARI 35,0,3,"Jay Feely kicks off 69 yards, returned by Felix Jones for 69 yards (tackle by Richard Marshall)",0.000,3.250
1,4:03,1,10,ARI 35,0,3,Tony Romo sacked by Paris Lenon for -7 yards,3.250,1.760
1,3:29,2,17,ARI 42,0,3,DeMarco Murray left tackle for 6 yards (tackle by Adrian Wilson),1.760,1.880
1,2:48,3,11,ARI 36,0,3,Tony Romo pass complete short right to Dez Bryant for 1 yard (tackle by Patrick Peterson),1.880,0.970
1,2:04,4,10,ARI 35,0,3,Mat McBriar punts 25 yards,0.970,0.380
1,1:53,1,10,ARI 10,0,3,Kevin Kolb pass complete short middle to Chris Wells for 6 yards (tackle by Keith Brooking),-0.380,-0.230
1,1:13,2,4,ARI 16,0,3,Chris Wells up the middle for 2 yards (tackle by Keith Brooking),-0.230,-0.480
1,0:28,3,2,ARI 18,0,3,Kevin Kolb pass complete short right to Rob Housler for 10 yards (tackle by Terence Newman and Abram Elam),-0.480,0.810
Quarter,Time,Down,ToGo,Location,DAL,ARI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,ARI 28,0,3,Kevin Kolb sacked by Sean Lissemore for -6 yards,0.810,-0.550
2,14:27,2,16,ARI 22,0,3,Chris Wells up the middle for 3 yards (tackle by Keith Brooking),-0.550,-0.820
2,13:48,3,13,ARI 25,0,3,Kevin Kolb sacked by Jason Hatcher for -4 yards,-0.820,-1.960
2,13:27,4,17,ARI 21,0,3,Dave Zastudil punts 51 yards,-1.960,-0.810
2,13:18,1,10,DAL 28,0,3,DeMarco Murray up the middle for -3 yards (tackle by Adrian Wilson),0.810,-0.140
2,12:44,2,13,DAL 25,0,3,Tony Romo pass complete deep middle to Laurent Robinson for 36 yards (tackle by A.J. Jefferson),-0.140,2.980
2,11:58,1,10,ARI 39,0,3,Tony Romo pass incomplete deep left intended for Jason Witten,2.980,2.440
2,11:52,2,10,ARI 39,0,3,DeMarco Murray up the middle for -3 yards (tackle by Calais Campbell and Darnell Dockett),2.440,1.360
2,11:09,3,13,ARI 42,0,3,Tony Romo sacked by Darnell Dockett for -11 yards,1.360,-0.260
2,10:51,4,24,DAL 47,0,3,Mat McBriar punts 50 yards,-0.260,0.380
2,10:43,1,10,ARI 3,0,3,Chris Wells left tackle for no gain (tackle by Sean Lee),-0.380,-0.780
2,10:06,2,10,ARI 3,0,3,Kevin Kolb pass incomplete deep left intended for Larry Fitzgerald,-0.780,-1.420
2,9:59,3,10,ARI 3,0,3,Kevin Kolb pass incomplete deep right intended for Early Doucet,-1.420,-2.490
2,9:54,4,10,ARI 3,0,3,"Dave Zastudil punts 51 yards, returned by Dez Bryant for 4 yards (tackle by Michael Adams). Dez Bryant fumbles, recovered by Alan Ball at DAL-48 (tackle by Hamza Abdullah). Penalty on Orlando Scandrick: Illegal Block Above the Waist, 10 yards",-2.490,-1.470
2,9:41,1,10,DAL 38,0,3,Tony Romo pass complete short left to John Phillips for 9 yards (tackle by Daryl Washington),1.470,2.140
2,9:05,2,1,DAL 47,0,3,DeMarco Murray up the middle for 1 yard (tackle by Sam Acho and Rashad Johnson),2.140,2.130
2,8:14,1,10,DAL 48,0,3,Tony Romo pass complete short right to Laurent Robinson for 5 yards (tackle by Sam Acho),2.130,2.260
2,7:30,2,5,ARI 47,0,3,Tony Romo pass complete short left to Kevin Ogletree for 11 yards (tackle by Richard Marshall),2.260,3.180
2,6:50,1,10,ARI 36,0,3,Tony Romo pass incomplete short right intended for Dez Bryant (defended by Rashad Johnson),3.180,2.640
