Unnamed: 0,DAL,ARI
First Downs,20,16
Rush-Yds-TDs,20-75-0,25-103-1
Cmp-Att-Yd-TD-INT,28-42-299-1-0,16-25-247-1-0
Sacked-Yards,5-38,5-23
Net Pass Yards,261,224
Total Yards,336,327
Fumbles-Lost,2-0,0-0
Turnovers,0,0
Penalties-Yards,7-49,6-41
Third Down Conv.,4-12,4-13
Fourth Down Conv.,0-0,0-0
Time of Possession,33:42,29:35
