Quarter,Time,Tm,Detail,HOU,JAX
1.0,7:35,Texans,Dameon Pierce 1 yard rush (Ka'imi Fairbairn kick),7,0
2.0,7:27,Texans,Brevin Jordan 4 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),14,0
,0:00,Texans,Ka'imi Fairbairn 28 yard field goal,17,0
3.0,11:17,Jaguars,Tank Bigsby 1 yard rush (Brandon McManus kick),17,7
,4:35,Jaguars,Brandon McManus 33 yard field goal,17,10
,4:19,Texans,Andrew Beck 85 yard kickoff return (Ka'imi Fairbairn kick),24,10
4.0,12:36,Texans,Ka'imi Fairbairn 26 yard field goal,27,10
,10:40,Jaguars,Christian Kirk 26 yard pass from Trevor Lawrence (Brandon McManus kick),27,17
,8:59,Texans,Tank Dell 68 yard pass from C.J. Stroud (Ka'imi Fairbairn kick),34,17
,2:10,Texans,Ka'imi Fairbairn 33 yard field goal,37,17
