Quarter,Time,Tm,Detail,DAL,PHI
2.0,10:07,Eagles,Chad Lewis 2 yard pass from Donovan McNabb (David Akers kick failed),0,6
,3:22,Cowboys,Keyshawn Johnson 7 yard pass from Vinny Testaverde (Billy Cundiff kick),7,6
4.0,1:57,Eagles,Dorsey Levens 2 yard rush (pass failed),7,12
