Unnamed: 0,DAL,PHI
First Downs,14,24
Rush-Yds-TDs,26-80-0,28-120-1
Cmp-Att-Yd-TD-INT,16-28-176-1-2,20-35-223-1-2
Sacked-Yards,3-19,2-15
Net Pass Yards,157,208
Total Yards,237,328
Fumbles-Lost,1-0,1-1
Turnovers,2,3
Penalties-Yards,6-35,5-36
Third Down Conv.,4-13,2-10
Fourth Down Conv.,0-0,0-0
Time of Possession,29:28,30:32
