Quarter,Time,Tm,Detail,NOR,CHI
1,8:13,Saints,Wil Lutz 38 yard field goal,3,0
,1:13,Bears,Cairo Santos 44 yard field goal,3,3
2,8:10,Bears,Allen Robinson 24 yard pass from Nick Foles (Cairo Santos kick),3,10
,1:39,Bears,Cairo Santos 29 yard field goal,3,13
,0:03,Saints,Jared Cook 16 yard pass from Drew Brees (Wil Lutz kick),10,13
3,9:19,Saints,Wil Lutz 27 yard field goal,13,13
,5:04,Saints,Wil Lutz 39 yard field goal,16,13
4,9:57,Saints,Taysom Hill 20 yard pass from Drew Brees (Wil Lutz kick),23,13
,3:32,Bears,Darnell Mooney 3 yard pass from Nick Foles (Cairo Santos kick),23,20
,0:13,Bears,Cairo Santos 51 yard field goal,23,23
OT,1:36,Saints,Wil Lutz 35 yard field goal,26,23
