Unnamed: 0,NOR,CHI
First Downs,23,18
Rush-Yds-TDs,30-122-0,23-96-0
Cmp-Att-Yd-TD-INT,31-41-280-2-0,28-41-272-2-1
Sacked-Yards,1-8,5-39
Net Pass Yards,272,233
Total Yards,394,329
Fumbles-Lost,3-0,0-0
Turnovers,0,1
Penalties-Yards,5-45,7-53
Third Down Conv.,2-13,5-15
Fourth Down Conv.,2-3,2-3
Time of Possession,35:15,33:09
