Unnamed: 0,WAS,TAM
First Downs,27,16
Rush-Yds-TDs,31-153-2,18-80-1
Cmp-Att-Yd-TD-INT,26-35-323-0-0,24-39-299-1-1
Sacked-Yards,1-2,1-6
Net Pass Yards,321,293
Total Yards,474,373
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,8-73,10-107
Third Down Conv.,2-11,3-12
Fourth Down Conv.,1-1,0-0
Time of Possession,32:19,27:41
