Quarter,Time,Down,ToGo,Location,IND,ATL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,ATL 35,0,0,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,IND 25,0,0,Gardner Minshew pass incomplete short right intended for Kylen Granson,0.610,0.060
1,14:56,2,10,IND 25,0,0,Gardner Minshew pass complete short left to Josh Downs for -1 yards (tackle by DeMarcco Hellams),0.060,-0.760
1,14:19,3,11,IND 24,0,0,Gardner Minshew pass complete deep left to Will Mallory for 18 yards (tackle by Nathan Landman),-0.760,1.730
1,13:51,1,10,IND 42,0,0,Trey Sermon left guard for 4 yards (tackle by Nathan Landman and Kaden Elliss),1.730,1.730
1,13:15,2,6,IND 46,0,0,Gardner Minshew pass complete short left to Alec Pierce for 7 yards (tackle by Kaden Elliss and AJ Terrell),1.730,2.460
1,12:51,1,10,ATL 47,0,0,Gardner Minshew pass complete short middle to Will Mallory for 12 yards (tackle by Jessie Bates),2.460,3.250
1,12:21,1,10,ATL 35,0,0,Jonathan Taylor right guard for 6 yards (tackle by Mike Hughes and DeMarcco Hellams),3.250,3.510
1,12:00,2,4,ATL 29,0,0,Jonathan Taylor left guard for 13 yards (tackle by DeMarcco Hellams and Jessie Bates),3.510,4.510
1,11:40,1,10,ATL 16,0,0,Jonathan Taylor right guard for 2 yards (tackle by Nathan Landman),4.510,4.210
1,10:55,2,8,ATL 14,0,0,Gardner Minshew pass incomplete short right,4.210,3.370
1,10:47,3,8,ATL 14,0,0,"Gardner Minshew pass incomplete short right intended for Alec Pierce. Penalty on AJ Terrell: Defensive Pass Interference, 13 yards (accepted) (no play)",3.370,6.970
1,10:43,1,1,ATL 1,0,0,Jonathan Taylor right guard for no gain (tackle by LaCale London and Nathan Landman),6.970,5.910
1,10:10,2,1,ATL 1,0,0,Jonathan Taylor right guard for no gain (tackle by Kaden Elliss and Jessie Bates),5.910,5.170
1,9:26,3,1,ATL 1,6,0,"Jonathan Taylor right tackle for 1 yard, touchdown",5.170,7.000
1,9:24,,,ATL 15,7,0,Matt Gay kicks extra point good,0.000,0.000
1,9:24,,,IND 35,7,0,"Matt Gay kicks off 65 yards, touchback.",0.000,0.610
1,9:24,1,10,ATL 25,7,0,Taylor Heinicke pass complete short middle to Bijan Robinson for 4 yards (tackle by Zaire Franklin),0.610,0.600
1,9:03,2,6,ATL 29,7,0,Taylor Heinicke pass incomplete short left intended for Drake London (defended by Jaylon Jones),0.600,-0.100
1,8:57,3,6,ATL 29,7,0,Taylor Heinicke pass complete short right to Scott Miller for 15 yards (tackle by Julius Brents),-0.100,1.860
1,8:15,1,10,ATL 44,7,0,Bijan Robinson left end for 32 yards (tackle by Rodney Thomas),1.860,3.970
1,7:46,1,10,IND 24,7,6,"Taylor Heinicke pass complete deep left to Kyle Pitts for 24 yards, touchdown",3.970,7.000
1,7:42,,,IND 15,7,7,Younghoe Koo kicks extra point good,0.000,0.000
1,7:42,,,ATL 35,7,7,"Bradley Pinion kicks off 65 yards, touchback.",0.000,0.610
1,7:42,1,10,IND 25,7,7,Jonathan Taylor right end for no gain (tackle by Zach Harrison),0.610,0.060
1,7:05,2,10,IND 25,7,7,Gardner Minshew scrambles left end for 5 yards (tackle by AJ Terrell),0.060,0.040
1,6:24,3,5,IND 30,7,7,Gardner Minshew pass complete short right to Josh Downs for 6 yards (tackle by Jeff Okudah),0.040,1.330
1,5:55,1,10,IND 36,7,7,Gardner Minshew pass complete short left to Josh Downs for 14 yards (tackle by Mike Hughes),1.330,2.260
1,5:17,1,10,ATL 50,7,7,Gardner Minshew pass incomplete short left,2.260,1.710
1,5:07,2,10,ATL 50,7,7,"Gardner Minshew pass complete short left to Kylen Granson for 16 yards (tackle by DeMarcco Hellams). Penalty on Bud Dupree: Defensive Holding, 5 yards (declined)",1.710,3.310
1,4:26,1,10,ATL 34,7,7,Jonathan Taylor up the middle for -1 yards (tackle by Kaden Elliss),3.310,2.640
