Unnamed: 0,IND,ATL
First Downs,20,23
Rush-Yds-TDs,25-92-1,30-177-1
Cmp-Att-Yd-TD-INT,20-37-201-0-1,23-33-229-1-0
Sacked-Yards,6-31,1-0
Net Pass Yards,170,229
Total Yards,262,406
Fumbles-Lost,1-0,1-0
Turnovers,1,0
Penalties-Yards,4-29,4-35
Third Down Conv.,5-14,5-13
Fourth Down Conv.,1-3,1-1
Time of Possession,30:36,29:24
