Quarter,Time,Tm,Detail,IND,ATL
1.0,9:24,Colts,Jonathan Taylor 1 yard rush (Matt Gay kick),7,0
,7:42,Falcons,Kyle Pitts 24 yard pass from Taylor Heinicke (Younghoe Koo kick),7,7
2.0,3:23,Falcons,Younghoe Koo 23 yard field goal,7,10
,0:05,Falcons,Younghoe Koo 47 yard field goal,7,13
3.0,11:13,Falcons,Tyler Allgeier 31 yard rush (Younghoe Koo kick),7,20
,4:23,Colts,Matt Gay 33 yard field goal,10,20
4.0,14:06,Falcons,Younghoe Koo 41 yard field goal,10,23
,5:46,Falcons,Younghoe Koo 35 yard field goal,10,26
,1:57,Falcons,Younghoe Koo 25 yard field goal,10,29
