Unnamed: 0,CHI,NYG
First Downs,16,21
Rush-Yds-TDs,32-149-0,44-262-2
Cmp-Att-Yd-TD-INT,11-22-174-0-0,9-16-82-0-1
Sacked-Yards,6-19,1-11
Net Pass Yards,155,71
Total Yards,304,333
Fumbles-Lost,6-3,2-1
Turnovers,3,2
Penalties-Yards,5-65,7-55
Third Down Conv.,5-15,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:43,31:17
