Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA
Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NYG 48,6,7,Daniel Jones pass incomplete short left,2.130,1.580
2,14:53,2,10,NYG 48,6,7,Saquon Barkley up the middle for no gain (tackle by Roquan Smith),1.580,0.890
2,14:11,3,10,NYG 48,6,7,Daniel Jones pass incomplete short right intended for Kenny Golladay,0.890,-0.190
2,14:07,4,9,NYG 48,6,7,"Jamie Gillan punts 52 yards, touchback.",-0.190,-0.280
2,13:59,1,10,CHI 20,6,7,Trestan Ebner left guard for 4 yards (tackle by Jaylon Smith),0.280,0.270
2,13:25,2,6,CHI 24,6,7,Justin Fields pass incomplete short right intended for Ihmir Smith-Marsette,0.270,-0.430
2,13:16,3,6,CHI 24,6,7,Justin Fields scrambles up the middle for 11 yards (tackle by Aaron Robinson),-0.430,1.270
2,12:55,1,10,CHI 35,6,7,Trestan Ebner left end for 11 yards (tackle by Julian Love),1.270,1.990
2,12:30,1,10,CHI 46,6,7,Justin Fields pass incomplete short right intended for Trestan Ebner,1.990,1.450
2,12:22,2,10,CHI 46,6,7,Justin Fields pass complete short right to Cole Kmet for 13 yards (tackle by D.J. Davidson and Dane Belton),1.450,2.850
2,11:44,1,10,NYG 41,6,7,Trestan Ebner left end for -2 yards (tackle by Dane Belton),2.850,2.040
2,11:04,2,12,NYG 43,6,7,Justin Fields sacked by Tae Crowder for -8 yards,2.040,0.300
2,10:24,3,20,CHI 49,6,7,Justin Fields pass complete short middle to Khalil Herbert for 24 yards (tackle by Xavier McKinney and Micah McFadden),0.300,3.780
2,9:33,1,10,NYG 27,6,7,"Justin Fields sacked by Azeez Ojulari for no gain. Justin Fields fumbles (forced by Azeez Ojulari), recovered by Kayvon Thibodeaux at NYG-25 (tackle by Azeez Ojulari)",3.780,-0.610
2,9:32,1,10,NYG 25,6,7,Saquon Barkley right tackle for 29 yards (tackle by Jaquan Brisker),0.610,2.520
2,8:49,1,10,CHI 46,6,7,Daniel Jones pass complete to Tanner Hudson for 18 yards (tackle by Eddie Jackson and Kyler Gordon),2.520,3.710
2,8:26,1,10,CHI 28,6,7,Daniel Jones pass complete short right to Daniel Bellinger for 2 yards (tackle by Roquan Smith),3.710,3.440
2,7:50,2,8,CHI 26,6,7,Saquon Barkley left tackle for 4 yards (tackle by Roquan Smith),3.440,3.270
2,7:11,3,4,CHI 22,6,7,Daniel Jones pass complete to David Sills for no gain (no play),3.270,2.610
2,6:46,3,9,CHI 27,6,7,Daniel Jones pass complete short right to Saquon Barkley for 15 yards (tackle by Jaylon Jones),2.610,4.780
2,5:59,1,10,CHI 12,6,7,Matt Breida right tackle for 4 yards (tackle by Kindle Vildor and Roquan Smith),4.780,4.830
2,5:24,2,6,CHI 8,6,13,"Daniel Jones scrambles left end for 8 yards, touchdown",4.830,7.000
2,5:17,,,CHI 15,6,14,Graham Gano kicks extra point good,0.000,0.000
2,5:17,,,NYG 35,6,14,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
2,5:17,1,10,CHI 25,6,14,Khalil Herbert up the middle for 4 yards (tackle by Jihad Ward),0.610,0.600
2,4:40,2,6,CHI 29,6,14,"Justin Fields pass complete to Darnell Mooney for 21 yards NYG challenged the pass completion ruling, and the original play was overturned. Justin Fields pass incomplete deep left intended for Darnell Mooney",0.600,-0.100
2,4:35,3,6,CHI 29,6,14,Justin Fields sacked by Dexter Lawrence for -9 yards,-0.100,-2.030
2,4:01,4,15,CHI 20,6,14,"Trenton Gill punts 50 yards, returned by Richie James for 5 yards. Richie James fumbles (forced by Josh Blackwell), recovered by Josh Blackwell at NYG-35 (tackle by Josh Blackwell)",-2.030,3.250
2,3:48,1,10,NYG 35,6,14,Khalil Herbert up the middle for no gain (tackle by Nick Williams and Tae Crowder),3.250,2.700
2,3:15,2,10,NYG 35,6,14,Justin Fields pass incomplete short right intended for Dante Pettis (defended by Nick Williams),2.700,2.010
2,3:11,3,10,NYG 35,6,14,Justin Fields scrambles right guard for 12 yards (tackle by Tae Crowder),2.010,4.040
2,2:36,1,10,NYG 23,6,14,Justin Fields pass incomplete deep right intended for Equanimeous St. Brown (defended by Fabian Moreau),4.040,3.500
2,2:33,2,10,NYG 23,6,14,Khalil Herbert right guard for no gain (tackle by Nick Williams and Darnay Holmes),3.500,2.810
2,2:00,3,10,NYG 23,6,14,"Penalty on Braxton Jones: False Start, 5 yards (accepted) (no play)",2.810,2.150
2,2:00,3,15,NYG 28,6,14,Justin Fields pass complete to Cole Kmet for 6 yards (tackle by Tae Crowder and Dexter Lawrence),2.150,1.990
2,1:49,,,,,,Timeout #1 by New York Giants,,
2,1:49,4,9,NYG 22,9,14,Michael Badgley 40 yard field goal good,1.990,3.000
2,1:44,,,CHI 35,9,14,"Trenton Gill kicks off 66 yards, returned by Gary Brightwell for 19 yards (tackle by Jaylon Jones)",0.000,0.040
2,1:40,1,10,NYG 18,9,14,Saquon Barkley up the middle for 6 yards (tackle by Jaylon Jones and Angelo Blackson),0.040,0.410
2,1:20,2,4,NYG 24,9,14,Saquon Barkley right guard for 3 yards (tackle by Justin Jones and Robert Quinn),0.410,-0.020
2,1:08,,,,,,Timeout #1 by Chicago Bears,,
2,1:08,3,1,NYG 27,9,14,Daniel Jones right end for 7 yards (tackle by Jaquan Brisker),-0.020,1.200
2,1:02,1,10,NYG 34,9,14,Daniel Jones pass incomplete short right intended for Tanner Hudson,1.200,0.660
2,0:55,2,10,NYG 34,9,14,Saquon Barkley for 4 yards (tackle by Angelo Blackson),0.660,0.500
2,0:50,,,,,,Timeout #2 by Chicago Bears,,
2,0:50,3,6,NYG 38,9,14,Daniel Jones pass complete short right to David Sills for 5 yards (tackle by Kindle Vildor and Jaquan Brisker),0.500,-0.520
2,0:44,,,,,,Timeout #3 by Chicago Bears,,
2,0:44,4,1,NYG 43,9,14,"Jamie Gillan punts 57 yards, touchback.",-0.520,-0.280
2,0:36,1,10,CHI 20,9,14,"Justin Fields scrambles for 2 yards (tackle by Micah McFadden). Penalty on Dane Belton: Illegal Contact, 5 yards (accepted)",0.280,0.740
2,0:29,1,10,CHI 27,9,14,Justin Fields scrambles left end for 2 yards (tackle by Kayvon Thibodeaux),0.740,0.470
2,0:23,2,8,CHI 29,9,14,Justin Fields sacked by Dexter Lawrence for no gain,0.470,-0.230
Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,NYG 35,9,14,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,CHI 25,9,14,Justin Fields pass complete short right to Trevon Wesco for 23 yards (tackle by Jaylon Smith),0.610,2.130
3,14:23,1,10,CHI 48,9,14,Trestan Ebner right end for -1 yards (tackle by Adoree' Jackson),2.130,1.450
3,13:50,2,11,CHI 47,9,14,Trestan Ebner right end for 2 yards (tackle by Tae Crowder),1.450,1.020
3,13:07,3,9,CHI 49,9,14,Justin Fields pass complete to Darnell Mooney for 18 yards (tackle by Dane Belton),1.020,3.380
3,12:32,1,10,NYG 33,9,14,Khalil Herbert left tackle for 15 yards (tackle by Darnay Holmes),3.380,4.370
3,12:05,1,10,NYG 18,9,14,Khalil Herbert up the middle for 4 yards (tackle by Jihad Ward),4.370,4.430
3,11:45,2,6,NYG 14,9,14,Justin Fields pass incomplete short right intended for Equanimeous St. Brown,4.430,3.630
3,11:40,3,6,NYG 14,9,14,Justin Fields pass complete to Cole Kmet for -3 yards (tackle by Jaylon Smith),3.630,2.310
3,11:05,4,9,NYG 17,12,14,Michael Badgley 35 yard field goal good,2.310,3.000
3,11:02,,,CHI 35,12,14,"Trenton Gill kicks off 66 yards, returned by Gary Brightwell for 14 yards (tackle by Sterling Weatherford and DeAndre Houston-Carson)",0.000,-0.320
3,10:54,1,10,NYG 13,12,14,Saquon Barkley left guard for 2 yards (tackle by Justin Jones and Armon Watts),-0.320,-0.570
3,10:33,2,8,NYG 15,12,14,"Penalty on Justin Jones: Defensive Offside, 5 yards (accepted) (no play)",-0.570,0.220
3,10:15,2,3,NYG 20,12,14,"Daniel Jones pass complete to Daniel Bellinger for no gain. Penalty on Mark Glowinski: Ineligible Downfield Pass, 5 yards (accepted) (no play)",0.220,-0.570
3,9:44,2,8,NYG 15,12,14,Saquon Barkley right end for 1 yard (tackle by Joe Thomas and Roquan Smith),-0.570,-1.060
3,8:59,3,7,NYG 16,12,14,Daniel Jones pass complete short left to Richie James for 9 yards (tackle by Roquan Smith),-1.060,0.610
3,8:18,1,10,NYG 25,12,14,Saquon Barkley up the middle for 4 yards (tackle by Mike Pennel),0.610,0.600
3,7:44,2,6,NYG 29,12,14,Daniel Jones pass complete short right to Saquon Barkley for 1 yard (tackle by Kindle Vildor),0.600,0.040
3,6:59,3,5,NYG 30,12,14,Daniel Jones pass incomplete short middle intended for Richie James,0.040,-1.370
3,6:55,4,5,NYG 30,12,14,"Jamie Gillan punts, returned by Velus Jones for no gain. Penalty on Jason Pinnock: Player Out of Bounds on a Punt, 5 yards (accepted) (no play)",-1.370,-1.700
3,6:45,4,10,NYG 25,12,14,"Jamie Gillan punts 55 yards, returned by Velus Jones for 19 yards (tackle by Matt Breida)",-1.700,-1.530
3,6:32,1,10,CHI 39,12,14,"Khalil Herbert for no gain. Penalty on Cole Kmet: Offensive Holding, 10 yards (accepted) (no play)",1.530,0.870
3,6:12,1,20,CHI 29,12,14,Justin Fields scrambles left end for 5 yards (tackle by Jaylon Smith),0.870,0.310
3,5:26,2,15,CHI 34,12,14,Khalil Herbert left tackle for 4 yards (tackle by Kayvon Thibodeaux and Nick Williams),0.310,0.170
3,4:41,3,11,CHI 38,12,14,Justin Fields pass incomplete short right,0.170,-0.850
3,4:32,4,11,CHI 38,12,14,"Trenton Gill punts 48 yards, fair catch by Richie James at NYG-14",-0.850,0.280
3,4:23,1,10,NYG 14,12,14,"Daniel Jones pass incomplete intended for Daniel Bellinger. Penalty on Kyler Gordon: Illegal Contact, 5 yards (accepted) (no play)",-0.280,0.150
3,4:16,1,10,NYG 19,12,14,Daniel Jones left end for 19 yards (tackle by Eddie Jackson),0.150,1.470
3,3:43,1,10,NYG 38,12,14,"Daniel Jones pass incomplete intended for Darius Slayton. Penalty on Kyler Gordon: Defensive Pass Interference, 40 yards (accepted) (no play)",1.470,4.110
3,3:35,1,10,CHI 22,12,14,Daniel Jones sacked by Jaquan Brisker for -11 yards,4.110,2.080
3,2:53,2,21,CHI 33,12,14,Saquon Barkley left guard for 5 yards (tackle by Nicholas Morrow),2.080,2.080
3,2:19,3,16,CHI 28,12,14,Saquon Barkley up the middle for 2 yards (tackle by Roquan Smith),2.080,1.740
3,1:37,4,14,CHI 26,12,17,Graham Gano 44 yard field goal good,1.740,3.000
3,1:33,,,NYG 35,12,17,"Graham Gano kicks off 63 yards, returned by Velus Jones for 22 yards (tackle by Xavier McKinney)",0.000,0.540
3,1:27,1,10,CHI 24,12,17,Trestan Ebner left end for 6 yards (tackle by Kayvon Thibodeaux),0.540,0.810
3,1:00,2,4,CHI 30,12,17,Justin Fields pass incomplete short right intended for Trevon Wesco,0.810,0.100
3,0:50,3,4,CHI 30,12,17,Justin Fields pass incomplete deep left intended for Dante Pettis (defended by Fabian Moreau),0.100,-1.370
3,0:45,4,4,CHI 30,12,17,"Trenton Gill punts 56 yards, fair catch by Richie James at NYG-14",-1.370,0.280
3,0:38,1,10,NYG 14,12,17,Saquon Barkley right guard for -1 yards (tackle by Justin Jones and Eddie Jackson),-0.280,-0.850
Quarter,Time,Down,ToGo,Location,CHI,NYG,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,11,NYG 13,12,17,Saquon Barkley right tackle for 9 yards (tackle by Nicholas Morrow),-0.850,-0.440
4,14:21,3,2,NYG 22,12,17,Tyrod Taylor right end for 13 yards (tackle by Al-Quadin Muhammad and Eddie Jackson),-0.440,1.270
4,13:45,1,10,NYG 35,12,17,"Tyrod Taylor pass intended for Darius Slayton is intercepted by Eddie Jackson at CHI-7 and returned for -3 yards (tackle by Darius Slayton). Penalty on Devery Hamilton: Offensive Holding, 10 yards (declined)",1.270,0.380
4,13:33,1,10,CHI 4,12,17,Khalil Herbert up the middle for 5 yards (tackle by Dexter Lawrence and Fabian Moreau),-0.380,-0.420
4,13:04,2,5,CHI 9,12,17,Khalil Herbert left tackle for 2 yards (tackle by Tomon Fox),-0.420,-0.600
4,12:26,3,3,CHI 11,12,17,Justin Fields pass incomplete short left,-0.600,-2.490
4,12:18,4,3,CHI 11,12,17,"Trenton Gill punts 58 yards, returned by Richie James for no gain (tackle by Jack Sanborn). Penalty on Justin Layne: Offensive Holding, 10 yards (accepted)",-2.490,-0.340
4,12:05,1,10,NYG 21,12,17,Saquon Barkley right guard for 3 yards (tackle by Mike Pennel and Joe Thomas),0.340,0.210
4,11:32,2,7,NYG 24,12,17,Saquon Barkley left guard for 3 yards (tackle by Angelo Blackson),0.210,-0.100
4,11:01,3,4,NYG 27,12,17,Tyrod Taylor scrambles left end for 9 yards (tackle by Jaquan Brisker),-0.100,1.330
4,10:23,1,10,NYG 36,12,17,Saquon Barkley up the middle for -1 yards (tackle by Justin Jones and Trevis Gipson),1.330,0.660
4,9:52,2,11,NYG 35,12,17,Tyrod Taylor pass complete short left to Darius Slayton for 11 yards (tackle by Roquan Smith),0.660,1.990
4,9:31,1,10,NYG 46,12,17,Saquon Barkley right end for 3 yards (tackle by Kindle Vildor),1.990,1.860
4,9:02,2,7,NYG 49,12,17,Tyrod Taylor pass incomplete short middle intended for David Sills,1.860,1.160
4,8:15,3,7,NYG 49,12,17,Tyrod Taylor scrambles for 8 yards. Tyrod Taylor fumbles out of bounds. Tyrod Taylor fumbles (forced by Kyler Gordon),1.160,2.720
4,8:22,1,10,CHI 43,12,17,Matt Breida right end for 13 yards (tackle by Eddie Jackson),2.720,3.580
4,7:42,1,10,CHI 30,12,17,Saquon Barkley left guard for 4 yards (tackle by Nicholas Morrow),3.580,3.570
4,6:58,2,6,CHI 26,12,17,Matt Breida right end for 1 yard (tackle by Nicholas Morrow),3.570,3.010
4,6:16,,,,,,Timeout #1 by New York Giants,,
4,6:16,3,5,CHI 25,12,17,Gary Brightwell right tackle for no gain (tackle by Dominique Robinson and Al-Quadin Muhammad),3.010,1.850
4,5:34,4,5,CHI 25,12,20,Graham Gano 43 yard field goal good,1.850,3.000
4,5:31,,,NYG 35,12,20,"Graham Gano kicks off 65 yards, touchback.",0.000,0.610
4,5:31,1,10,CHI 25,12,20,Khalil Herbert left end for 12 yards (tackle by Dane Belton),0.610,1.400
4,5:00,1,10,CHI 37,12,20,Khalil Herbert right guard for 6 yards (tackle by Jaylon Smith and Fabian Moreau),1.400,1.670
4,4:30,2,4,CHI 43,12,20,Justin Fields pass complete short left to Darnell Mooney for 2 yards (tackle by Adoree' Jackson),1.670,1.220
4,3:54,3,2,CHI 45,12,20,Khalil Herbert right guard for no gain (tackle by Tae Crowder and Nick Williams),1.220,-0.390
4,3:16,4,2,CHI 45,12,20,Trenton Gill punts 52 yards downed by Jaylon Jones,-0.390,0.380
4,3:04,1,10,NYG 3,12,20,Saquon Barkley up the middle for 1 yard (tackle by Trevis Gipson),-0.380,-0.710
4,2:59,,,,,,Timeout #1 by Chicago Bears,,
4,2:59,2,9,NYG 4,12,20,Saquon Barkley left tackle for no gain (tackle by Roquan Smith),-0.710,-1.300
4,2:55,,,,,,Timeout #2 by Chicago Bears,,
4,2:55,3,9,NYG 4,12,20,Saquon Barkley right tackle for 3 yards (tackle by Armon Watts),-1.300,-2.490
4,2:14,4,6,NYG 7,12,20,"Jamie Gillan punts 59 yards, recovered by Gary Brightwell at CHI-37. Penalty on Sterling Weatherford: Offensive Holding, 10 yards (declined)",-2.490,3.120
4,2:01,1,10,CHI 37,12,20,Saquon Barkley up the middle for 13 yards (tackle by Joe Thomas and Al-Quadin Muhammad),3.120,3.970
4,1:56,1,10,CHI 24,12,20,Saquon Barkley right tackle for 5 yards (tackle by Al-Quadin Muhammad and Angelo Blackson),3.970,4.120
4,1:50,,,,,,Timeout #3 by Chicago Bears,,
4,1:50,2,5,CHI 19,12,20,Saquon Barkley right tackle for no gain (tackle by Mike Pennel and Angelo Blackson),4.120,3.410
4,1:08,3,5,CHI 19,12,20,Saquon Barkley right guard for no gain (tackle by Mike Pennel and Dominique Robinson),3.410,2.240
4,0:21,,,,,,Timeout #2 by New York Giants,,
4,0:21,4,5,CHI 19,12,20,Graham Gano 37 yard field goal no good,2.240,-0.740
4,0:17,1,10,CHI 27,12,20,Justin Fields pass complete short left to Trestan Ebner for 6 yards,0.740,1.010
4,0:08,2,4,CHI 33,12,20,Justin Fields sacked,1.010,0.300
4,0:03,,,,,,Timeout #3 by New York Giants,,
4,0:03,3,4,CHI 33,12,20,"Justin Fields pass complete short right to Trestan Ebner for 2 yards, lateral to Equanimeous St. Brown for 9 yards. Equanimeous St. Brown fumbles, recovered by Justin Fields at CHI-39 and returned for -3 yards, lateral to Equanimeous St. Brown for 8 yards, lateral to Trestan Ebner for 12 yards. Trestan Ebner fumbles (forced by Jihad Ward), recovered by Lucas Patrick at NYG-46 and returned for -6 yards, lateral to Justin Fields for 1 yard, lateral to Teven Jenkins for -3 yards. Teven Jenkins fumbles (forced by Tae Crowder), recovered by Trestan Ebner at CHI-41 and returned for -9 yards. Trestan Ebner fumbles, recovered by Dane Belton at CHI-28",0.300,0.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
