Quarter,Time,Tm,Detail,CHI,NYG
1.0,8:27,Bears,Michael Badgley 29 yard field goal,3,0
,5:06,Giants,Daniel Jones 21 yard rush (Graham Gano kick),3,7
,1:30,Bears,Michael Badgley 22 yard field goal,6,7
2.0,5:17,Giants,Daniel Jones 8 yard rush (Graham Gano kick),6,14
,1:44,Bears,Michael Badgley 40 yard field goal,9,14
3.0,11:02,Bears,Michael Badgley 35 yard field goal,12,14
,1:33,Giants,Graham Gano 44 yard field goal,12,17
4.0,5:31,Giants,Graham Gano 43 yard field goal,12,20
