Quarter,Time,Tm,Detail,SDG,BUF
1.0,9:12,Chargers,Nate Kaeding 42 yard field goal,3,0
,1:06,Chargers,LaDainian Tomlinson 51 yard rush (Nate Kaeding kick),10,0
2.0,0:24,Chargers,Antonio Gates 11 yard pass from Philip Rivers (Nate Kaeding kick),17,0
3.0,11:33,Bills,Robert Royal 5 yard pass from J.P. Losman (Rian Lindell kick),17,7
,8:09,Bills,Willis McGahee 2 yard rush (Rian Lindell kick),17,14
4.0,3:26,Chargers,LaDainian Tomlinson 2 yard rush (Nate Kaeding kick),24,14
,0:30,Bills,Peerless Price 6 yard pass from J.P. Losman (Rian Lindell kick),24,21
