Unnamed: 0,SDG,BUF
First Downs,18,16
Rush-Yds-TDs,35-197-2,24-63-1
Cmp-Att-Yd-TD-INT,17-29-160-1-0,21-37-184-2-2
Sacked-Yards,3-22,3-17
Net Pass Yards,138,167
Total Yards,335,230
Fumbles-Lost,4-2,2-2
Turnovers,2,4
Penalties-Yards,3-30,2-10
Third Down Conv.,4-13,8-17
Fourth Down Conv.,0-0,0-0
Time of Possession,34:23,25:37
