Quarter,Time,Tm,Detail,OAK,CHI
1.0,6:10,Raiders,Zack Crockett 1 yard rush (Sebastian Janikowski kick failed),6,0
2.0,11:05,Bears,Paul Edinger 35 yard field goal,6,3
,7:35,Raiders,Sebastian Janikowski 36 yard field goal,9,3
,6:19,Raiders,Sebastian Janikowski 39 yard field goal,12,3
,1:51,Raiders,Sebastian Janikowski 32 yard field goal,15,3
,0:00,Raiders,Sebastian Janikowski 33 yard field goal,18,3
3.0,5:37,Bears,Paul Edinger 50 yard field goal,18,6
4.0,14:53,Bears,Marty Booker 14 yard pass from Kordell Stewart (Paul Edinger kick),18,13
,6:58,Bears,Stanley Pritchett 8 yard rush (Kordell Stewart run),18,21
,3:30,Raiders,Sebastian Janikowski 49 yard field goal,21,21
,0:00,Bears,Paul Edinger 48 yard field goal,21,24
