Quarter,Time,Down,ToGo,Location,OAK,CHI,Detail,EPB,EPA
2,13:38,4,8,OAK 33,6,0,"Shane Lechler punts 48 yards, returned by R.W. McQuarters for 54 yards (tackle by Shane Lechler)",-1.180,-3.780
2,13:18,1,10,OAK 27,6,0,Anthony Thomas left guard for 2 yards (tackle by Eric Barton),3.780,3.500
2,12:43,2,8,OAK 25,6,0,Kordell Stewart right end for 9 yards (tackle by John Parrella),3.500,4.510
2,11:59,1,10,OAK 16,6,0,Anthony Thomas left guard for -2 yards (tackle by Napoleon Harris),4.510,3.640
2,11:19,2,12,OAK 18,6,0,Kordell Stewart pass incomplete intended for Stanley Pritchett,3.640,2.940
2,11:14,3,12,OAK 18,6,0,Kordell Stewart pass incomplete intended for Marty Booker,2.940,2.250
2,11:07,4,12,OAK 18,6,3,Paul Edinger 35 yard field goal good,2.250,3.000
2,,,,CHI 30,6,3,"Paul Edinger kicks off 64 yards, returned by Ronney Jenkins for 19 yards (tackle by Joe Odom). Penalty on Tyrone Wheatley: Illegal Block Above the Waist, 9 yards",0.000,-0.380
2,10:59,1,10,OAK 9,6,3,Rich Gannon pass complete to Teyo Johnson for 20 yards (tackle by Michael Green),-0.380,0.870
2,10:36,1,10,OAK 29,6,3,Rich Gannon pass complete to Tyrone Wheatley for 16 yards (tackle by Charles Tillman),0.870,1.930
2,10:14,1,10,OAK 45,6,3,Charlie Garner right tackle for 33 yards (tackle by R.W. McQuarters),1.930,4.110
2,9:40,1,10,CHI 22,6,3,Rich Gannon pass complete to Ronald Curry for 4 yards (tackle by Michael Green),4.110,4.130
2,8:57,2,6,CHI 18,6,3,"Rich Gannon pass incomplete intended for Jerry Rice. Penalty on Charles Tillman: Defensive Pass Interference, 7 yards (no play)",4.130,4.840
2,8:53,1,10,CHI 11,6,3,Tyrone Wheatley left guard for 3 yards (tackle by Alex Brown),4.840,4.700
2,8:14,2,7,CHI 8,6,3,"Tyrone Wheatley right tackle for 2 yards (tackle by Brian Urlacher and Alex Brown). Penalty on Langston Walker: Offensive Holding, 11 yards (no play)",4.700,3.150
2,7:49,2,18,CHI 19,6,3,Rich Gannon pass incomplete intended for Doug Jolley,3.150,2.550
2,7:45,3,18,CHI 19,6,3,Rich Gannon pass incomplete intended for Teyo Johnson,2.550,2.180
2,7:39,4,18,CHI 19,9,3,Sebastian Janikowski 36 yard field goal good,2.180,3.000
2,,,,OAK 30,9,3,"Sebastian Janikowski kicks off 70 yards, returned by Jerry Azumah for 19 yards (tackle by Nnamdi Asomugha)",0.000,0.150
