Unnamed: 0,PHI,NYG
First Downs,19,20
Rush-Yds-TDs,21-197-1,31-100-0
Cmp-Att-Yd-TD-INT,21-35-242-3-1,23-39-289-4-1
Sacked-Yards,3-21,2-25
Net Pass Yards,221,264
Total Yards,418,364
Fumbles-Lost,3-2,2-1
Turnovers,3,2
Penalties-Yards,5-30,4-35
Third Down Conv.,4-11,8-17
Fourth Down Conv.,0-0,0-0
Time of Possession,26:31,33:29
