Quarter,Time,Tm,Detail,PHI,NYG
1.0,3:36,Giants,Mario Manningham 35 yard pass from Eli Manning (Lawrence Tynes kick),0,7
2.0,13:02,Eagles,David Akers 34 yard field goal,3,7
,8:17,Giants,Mario Manningham 33 yard pass from Eli Manning (Lawrence Tynes kick),3,14
,0:48,Giants,Lawrence Tynes 25 yard field goal,3,17
,0:05,Giants,Hakeem Nicks 8 yard pass from Eli Manning (Lawrence Tynes kick),3,24
3.0,3:56,Eagles,Jeremy Maclin 8 yard pass from Michael Vick (David Akers kick),10,24
4.0,8:17,Giants,Kevin Boss 8 yard pass from Eli Manning (Lawrence Tynes kick),10,31
,7:28,Eagles,Brent Celek 65 yard pass from Michael Vick (David Akers kick),17,31
,5:28,Eagles,Michael Vick 4 yard rush (David Akers kick),24,31
,1:16,Eagles,Jeremy Maclin 13 yard pass from Michael Vick (David Akers kick),31,31
,0:00,Eagles,DeSean Jackson 65 yard punt return (David Akers kick),38,31
