Quarter,Time,Down,ToGo,Location,TAM,NYG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Buccaneers won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,TAM 35,0,0,"Cairo Santos kicks off 68 yards, returned by Corey Coleman for no gain (tackle by Ryan Smith and Godwin Igwebuike)",0.000,1.400
1,14:53,1,10,NYG 37,0,0,Saquon Barkley left tackle for 8 yards (tackle by Gerald McCoy),1.400,1.940
1,14:22,2,2,NYG 45,0,0,Saquon Barkley up the middle for 1 yard (tackle by Carl Nassib and Jordan Whitehead),1.940,1.360
1,13:46,3,1,NYG 46,0,0,Saquon Barkley right guard for 6 yards (tackle by Riley Bullough),1.360,2.390
1,13:10,1,10,TAM 48,0,0,Eli Manning pass complete deep left to Odell Beckham for 41 yards (tackle by Isaiah Johnson),2.390,5.600
1,12:22,1,7,TAM 7,0,0,Saquon Barkley left guard for 1 yard (tackle by Carl Nassib),5.600,4.950
1,11:47,2,6,TAM 6,0,6,"Eli Manning pass complete short right to Saquon Barkley for 6 yards, touchdown",4.950,7.000
1,11:42,,,TAM 15,0,7,Aldrick Rosas kicks extra point good,0.000,0.000
1,11:42,,,NYG 35,0,7,"Aldrick Rosas kicks off 57 yards, returned by Dare Ogunbowale for no gain (tackle by Michael Thomas)",0.000,0.740
1,11:37,1,10,TAM 27,0,7,Peyton Barber up the middle for 5 yards (tackle by Dalvin Tomlinson and Landon Collins),0.740,0.870
1,11:09,2,5,TAM 32,0,7,Ryan Fitzpatrick left guard for 9 yards (tackle by Alec Ogletree),0.870,1.660
1,10:39,1,10,TAM 41,0,7,Peyton Barber right guard for 15 yards (tackle by Curtis Riley),1.660,2.650
1,10:07,1,10,NYG 44,0,7,Ryan Fitzpatrick right end for 4 yards (tackle by B.W. Webb),2.650,2.650
1,9:23,2,6,NYG 40,0,7,Ryan Fitzpatrick pass complete short left to Chris Godwin for 14 yards (tackle by Curtis Riley and Alec Ogletree),2.650,3.840
1,8:50,1,10,NYG 26,0,7,Ryan Fitzpatrick pass complete short left to Peyton Barber for 3 yards (tackle by Tae Davis),3.840,3.700
1,8:17,2,7,NYG 23,0,7,Peyton Barber right tackle for 3 yards (tackle by Josh Mauro),3.700,3.400
1,7:37,3,4,NYG 20,0,7,Ryan Fitzpatrick pass complete short left to DeSean Jackson for 6 yards (tackle by Alec Ogletree),3.400,4.650
1,7:03,1,10,NYG 14,0,7,Jacquizz Rodgers left end for -1 yards (tackle by Kareem Martin and Dalvin Tomlinson),4.650,3.850
1,6:20,2,11,NYG 15,0,7,Ryan Fitzpatrick pass incomplete short left intended for Jacquizz Rodgers,3.850,3.060
1,6:10,3,11,NYG 15,0,7,Ryan Fitzpatrick pass complete short middle to Cameron Brate for 10 yards (tackle by Landon Collins),3.060,3.030
1,5:19,4,1,NYG 5,0,7,Ryan Fitzpatrick up the middle for no gain (tackle by Josh Mauro and Landon Collins),3.030,0.380
1,5:13,1,10,NYG 5,0,7,Saquon Barkley up the middle for 9 yards (tackle by Jordan Whitehead and Isaiah Johnson),-0.380,-0.100
1,4:33,2,1,NYG 14,0,7,Saquon Barkley up the middle for 10 yards (tackle by Jordan Whitehead and Isaiah Johnson),-0.100,0.540
1,3:59,1,10,NYG 24,0,7,Eli Manning pass complete short middle to Rhett Ellison for 12 yards (tackle by Riley Bullough and Adarius Taylor),0.540,1.330
1,3:14,1,10,NYG 36,0,7,Eli Manning pass complete short left to Elijhaa Penny for 1 yard (tackle by Devante Bond),1.330,0.930
1,2:38,2,9,NYG 37,0,7,Eli Manning pass complete short right to Bennie Fowler for 10 yards (tackle by Rakeem Nunez-Roches),0.930,2.060
1,1:53,1,10,NYG 47,0,7,Odell Beckham left end for 11 yards (tackle by Isaiah Johnson),2.060,2.790
1,1:20,1,10,TAM 42,0,7,Saquon Barkley left tackle for -4 yards (tackle by Jordan Whitehead),2.790,1.700
1,0:41,2,14,TAM 46,0,7,Eli Manning pass complete short right to Wayne Gallman for 21 yards (tackle by Isaiah Johnson),1.700,3.910
1,0:01,1,10,TAM 25,0,7,Wayne Gallman right guard for 6 yards (tackle by Jordan Whitehead),3.910,4.200
Quarter,Time,Down,ToGo,Location,TAM,NYG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,TAM 19,0,7,Saquon Barkley right tackle for 9 yards (tackle by Carlton Davis),4.200,4.910
2,14:22,1,10,TAM 10,0,7,Saquon Barkley left guard for 5 yards (tackle by Adarius Taylor and Devante Bond),4.910,5.150
2,13:42,2,5,TAM 5,0,13,"Saquon Barkley right guard for 5 yards, touchdown",5.150,7.000
2,13:37,,,TAM 15,0,14,Aldrick Rosas kicks extra point good,0.000,0.000
2,13:37,,,NYG 35,0,14,"Aldrick Rosas kicks off 55 yards, returned by Dare Ogunbowale for no gain (tackle by Michael Thomas)",0.000,0.740
2,13:32,1,10,TAM 27,0,14,Ryan Fitzpatrick pass complete short middle to Mike Evans for 13 yards (tackle by Kareem Martin and Janoris Jenkins),0.740,1.600
2,13:02,1,10,TAM 40,0,14,Peyton Barber up the middle for 8 yards (tackle by Michael Thomas and Alec Ogletree),1.600,2.130
2,12:24,2,2,TAM 48,0,14,Peyton Barber right tackle for -6 yards (tackle by Josh Mauro and Landon Collins),2.130,0.630
2,11:42,3,8,TAM 42,0,14,Ryan Fitzpatrick sacked by Kareem Martin for -7 yards,0.630,-1.040
2,11:08,4,15,TAM 35,0,14,"Bryan Anger punts 44 yards, returned by Quadree Henderson for 5 yards (tackle by Kevin Minter)",-1.040,-0.670
2,10:57,1,10,NYG 26,0,14,Eli Manning sacked by Jason Pierre-Paul and Carl Nassib for -8 yards,0.670,-1.050
2,10:21,2,18,NYG 18,0,14,Wayne Gallman up the middle for 5 yards (tackle by Jason Pierre-Paul and Andrew Adams),-1.050,-0.960
2,9:42,3,13,NYG 23,0,14,"Penalty on Spencer Pulley: False Start, 5 yards (no play)",-0.960,-1.800
2,9:25,3,18,NYG 18,0,14,"Eli Manning pass complete short left to Wayne Gallman for 3 yards (tackle by Adarius Taylor). Wayne Gallman fumbles, ball out of bounds at NYG-21 (forced by Adarius Taylor)",-1.800,-1.960
2,9:25,4,15,NYG 21,0,14,"Riley Dixon punts 43 yards, fair catch by Adam Humphries at TB-36",-1.960,-1.330
2,8:51,1,10,TAM 36,0,14,Ryan Fitzpatrick pass complete deep right to Mike Evans for 24 yards (tackle by B.W. Webb),1.330,2.920
2,8:16,1,10,NYG 40,0,14,Peyton Barber right guard for 9 yards (tackle by Landon Collins and Kerry Wynn),2.920,3.590
2,7:45,2,1,NYG 31,0,14,Peyton Barber left guard for 1 yard (tackle by Landon Collins),3.590,3.580
2,7:06,1,10,NYG 30,0,14,Ryan Fitzpatrick pass complete deep middle to O.J. Howard for 20 yards (tackle by Landon Collins and B.J. Goodson),3.580,4.910
2,6:25,1,10,NYG 10,0,14,Ryan Fitzpatrick pass incomplete short right,4.910,4.190
2,6:21,2,10,NYG 10,0,14,Peyton Barber right guard for 8 yards (tackle by Landon Collins),4.190,4.950
