Unnamed: 0,TAM,NYG
First Downs,31,19
Rush-Yds-TDs,30-151-2,31-163-2
Cmp-Att-Yd-TD-INT,25-37-366-2-4,17-18-231-2-0
Sacked-Yards,1-7,4-35
Net Pass Yards,359,196
Total Yards,510,359
Fumbles-Lost,1-0,2-0
Turnovers,4,0
Penalties-Yards,4-40,8-60
Third Down Conv.,6-9,4-9
Fourth Down Conv.,1-2,0-0
Time of Possession,32:07,27:53
