Quarter,Time,Down,ToGo,Location,DET,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Lions won the coin toss and deferred, Jets to receive the opening kickoff.",,
1,15:00,,,DET 35,0,0,"Sam Martin kicks off 65 yards, touchback. Penalty on Josh Bynes: Offside on Free Kick, 5 yards (no play)",0.000,0.000
1,15:00,,,DET 30,0,0,"Sam Martin kicks off 70 yards, touchback",0.000,-0.280
1,15:00,1,10,NYJ 20,0,0,Geno Smith pass complete short left to Eric Decker for 11 yards (tackle by Rashean Mathis and Glover Quin),0.280,1.000
1,14:32,1,10,NYJ 31,0,0,Chris Ivory left tackle for 5 yards (tackle by Ezekiel Ansah),1.000,1.140
1,14:03,2,5,NYJ 36,0,0,Chris Ivory right guard for 4 yards (tackle by Darius Slay and DeAndre Levy),1.140,0.960
1,13:28,3,1,NYJ 40,0,0,Chris Ivory left tackle for 5 yards (tackle by Glover Quin),0.960,1.930
1,12:56,1,10,NYJ 45,0,0,Chris Johnson left end for 1 yard (tackle by Tahir Whitehead and Ezekiel Ansah),1.930,1.520
1,12:26,2,9,NYJ 46,0,0,Geno Smith pass complete short right to Eric Decker for 8 yards (tackle by Darius Slay),1.520,1.880
1,12:01,3,1,DET 46,0,0,Chris Ivory up the middle for 5 yards (tackle by C.J. Mosley and Caraun Reid),1.880,2.850
1,11:30,1,10,DET 41,0,0,Chris Ivory up the middle for 9 yards (tackle by Glover Quin and Caraun Reid),2.850,3.520
1,11:02,2,1,DET 32,0,0,Chris Ivory left tackle for 8 yards (tackle by Tahir Whitehead and DeAndre Levy),3.520,3.970
1,10:29,1,10,DET 24,0,0,Chris Ivory up the middle for 11 yards (tackle by Glover Quin and James Ihedigbo),3.970,4.710
1,9:50,1,10,DET 13,0,0,Chris Ivory up the middle for 4 yards (tackle by DeAndre Levy and Nick Fairley),4.710,4.770
1,9:20,2,6,DET 9,0,0,Chris Ivory left tackle for no gain (tackle by Ndamukong Suh),4.770,3.880
1,8:46,3,6,DET 9,0,0,Geno Smith pass incomplete short middle intended for Zach Sudfeld,3.880,2.850
1,8:40,4,6,DET 9,0,3,Nick Folk 27 yard field goal good,2.850,3.000
1,8:40,,,NYJ 35,0,3,"Nick Folk kicks off 65 yards, touchback",0.000,-0.280
1,8:36,1,10,DET 20,0,3,Reggie Bush left guard for 2 yards (tackle by Muhammad Wilkerson and Demario Davis),0.280,0.000
1,8:01,2,8,DET 22,0,3,Matthew Stafford pass complete short right to Golden Tate for 4 yards (tackle by Darrin Walls),0.000,-0.160
1,7:16,3,4,DET 26,0,3,Matthew Stafford pass complete short middle to Golden Tate for 35 yards (tackle by Antonio Allen),-0.160,2.980
1,6:33,1,10,NYJ 39,0,3,Matthew Stafford pass incomplete short right intended for Joique Bell,2.980,2.440
1,6:29,2,10,NYJ 39,0,3,Joique Bell right end for no gain (tackle by Muhammad Wilkerson and Demario Davis),2.440,1.750
1,5:46,3,10,NYJ 39,0,3,Matthew Stafford pass complete short left to Jeremy Ross for 6 yards (tackle by Dawan Landry),1.750,1.180
