Quarter,Time,Tm,Detail,DET,NYJ
1.0,8:36,Jets,Nick Folk 27 yard field goal,0,3
,5:04,Lions,Alex Henery 51 yard field goal,3,3
2.0,6:19,Lions,Jeremy Ross 59 yard pass from Matthew Stafford (Alex Henery kick),10,3
,0:22,Lions,Eric Ebron 16 yard pass from Matthew Stafford (Alex Henery kick),17,3
3.0,7:26,Jets,Eric Decker 11 yard pass from Geno Smith (Nick Folk kick),17,10
4.0,14:54,Lions,Matthew Stafford 1 yard rush (Alex Henery kick),24,10
,6:58,Jets,Chris Johnson 35 yard rush (Nick Folk kick),24,17
