Unnamed: 0,DET,NYJ
First Downs,17,17
Rush-Yds-TDs,27-88-1,27-132-1
Cmp-Att-Yd-TD-INT,24-34-293-2-0,17-33-209-1-1
Sacked-Yards,4-21,2-5
Net Pass Yards,272,204
Total Yards,360,336
Fumbles-Lost,0-0,2-1
Turnovers,0,2
Penalties-Yards,5-33,6-32
Third Down Conv.,6-15,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,34:53,25:07
