Quarter,Time,Down,ToGo,Location,NOR,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Blake Grupe kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,MIN 25,0,0,Joshua Dobbs pass complete short right to Jordan Addison for 9 yards (tackle by Paulson Adebo),0.610,1.280
1,14:29,2,1,MIN 34,0,0,Alexander Mattison right end for 8 yards (tackle by Nathan Shepherd),1.280,1.730
1,14:07,1,10,MIN 42,0,0,Joshua Dobbs scrambles left end for 3 yards (tackle by Pete Werner and Demario Davis),1.730,1.590
1,13:22,2,7,MIN 45,0,0,Joshua Dobbs pass complete deep right to Jordan Addison for 27 yards (tackle by Tyrann Mathieu),1.590,3.710
1,12:35,1,10,NOR 28,0,0,Joshua Dobbs pass complete short right to Alexander Mattison for 6 yards (tackle by Pete Werner),3.710,3.980
1,11:58,2,4,NOR 22,0,0,"Alexander Mattison right tackle for no gain (tackle by Bryan Bresee). Penalty on Brandon Powell: Offensive Holding, 10 yards (accepted) (no play)",3.980,2.630
1,11:36,2,14,NOR 32,0,0,Joshua Dobbs pass complete short right to T.J. Hockenson for 10 yards (tackle by Pete Werner and Paulson Adebo),2.630,3.270
1,10:57,3,4,NOR 22,0,0,Joshua Dobbs pass incomplete short right intended for Jordan Addison (defended by Paulson Adebo),3.270,2.070
1,10:52,4,4,NOR 22,0,3,Greg Joseph 40 yard field goal good,2.070,3.000
1,10:47,,,MIN 35,0,3,"Greg Joseph kicks off 65 yards, touchback.",0.000,0.610
1,10:47,1,10,NOR 25,0,3,Derek Carr pass incomplete short left intended for Michael Thomas (defended by Akayleb Evans),0.610,0.060
1,10:43,2,10,NOR 25,0,3,Derek Carr pass complete short right to Michael Thomas for 9 yards (tackle by Byron Murphy),0.060,0.560
1,10:09,3,1,NOR 34,0,3,Alvin Kamara up the middle for 3 yards (tackle by Harrison Phillips and Jordan Hicks),0.560,1.400
1,9:34,1,10,NOR 37,0,3,Derek Carr pass complete short left to Taysom Hill for 11 yards (tackle by Akayleb Evans),1.400,2.130
1,9:00,1,10,NOR 48,0,3,Alvin Kamara left guard for 8 yards (tackle by Jordan Hicks),2.130,2.660
