Unnamed: 0,NOR,MIN
First Downs,16,23
Rush-Yds-TDs,15-65-0,33-125-2
Cmp-Att-Yd-TD-INT,26-43-232-2-2,23-34-268-1-0
Sacked-Yards,3-17,1-5
Net Pass Yards,215,263
Total Yards,280,388
Fumbles-Lost,1-0,0-0
Turnovers,2,0
Penalties-Yards,9-74,5-35
Third Down Conv.,4-14,6-15
Fourth Down Conv.,2-2,0-0
Time of Possession,26:54,33:06
