Unnamed: 0,BAL,CLE
First Downs,15,17
Rush-Yds-TDs,38-161-0,26-102-0
Cmp-Att-Yd-TD-INT,12-19-102-2-1,16-30-178-1-3
Sacked-Yards,1-5,0-0
Net Pass Yards,97,178
Total Yards,258,280
Fumbles-Lost,2-0,1-1
Turnovers,1,4
Penalties-Yards,1-5,2-20
Third Down Conv.,7-13,7-11
Fourth Down Conv.,0-1,0-0
Time of Possession,31:46,28:14
