Unnamed: 0,MIN,SEA
First Downs,16,19
Rush-Yds-TDs,21-77-0,42-214-1
Cmp-Att-Yd-TD-INT,20-33-208-1-0,10-20-72-0-1
Sacked-Yards,2-9,2-12
Net Pass Yards,199,60
Total Yards,276,274
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,4-51,4-45
Third Down Conv.,2-10,3-11
Fourth Down Conv.,0-2,1-1
Time of Possession,28:11,31:49
