Quarter,Time,Tm,Detail,MIN,SEA
2.0,14:11,Seahawks,Sebastian Janikowski 37 yard field goal,0,3
4.0,13:22,Seahawks,Sebastian Janikowski 35 yard field goal,0,6
,2:53,Seahawks,Chris Carson 2 yard rush (Tyler Lockett pass from Russell Wilson),0,14
,2:35,Seahawks,Justin Coleman 29 yard fumble return (Sebastian Janikowski kick),0,21
,1:10,Vikings,Dalvin Cook 6 yard pass from Kirk Cousins (Dan Bailey kick),7,21
