Quarter,Time,Down,ToGo,Location,MIN,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Sebastian Janikowski kicks off 67 yards, returned by Ameer Abdullah for no gain (tackle by Tedric Thompson and Neiko Thorpe)",0.000,0.480
1,14:54,1,10,MIN 23,0,0,Dalvin Cook left tackle for 1 yard (tackle by Bobby Wagner and Mychal Kendricks),0.480,0.070
1,14:16,2,9,MIN 24,0,0,Kirk Cousins pass complete short right to Stefon Diggs for 15 yards (tackle by Tre Flowers),0.070,1.530
1,13:31,1,10,MIN 39,0,0,Dalvin Cook left tackle for 6 yards (tackle by Tre Flowers),1.530,1.800
1,12:53,2,4,MIN 45,0,0,Dalvin Cook left end for no gain (tackle by Jarran Reed),1.800,1.090
1,12:04,3,4,MIN 45,0,0,"Penalty on MIN: Delay of Game, 5 yards (no play)",1.090,0.430
1,11:39,3,9,MIN 40,0,0,Kirk Cousins pass incomplete short middle intended for Kyle Rudolph (defended by Bradley McDougald),0.430,-0.720
1,11:34,4,9,MIN 40,0,0,"Matt Wile punts 45 yards, returned by Tyler Lockett for 5 yards (tackle by Eric Wilson)",-0.720,-0.280
1,11:24,1,10,SEA 20,0,0,Chris Carson left guard for 4 yards (tackle by Linval Joseph),0.280,0.270
1,10:47,2,6,SEA 24,0,0,Chris Carson right tackle for 5 yards (tackle by Ben Gedeon and Holton Hill),0.270,0.230
1,10:10,3,1,SEA 29,0,0,Chris Carson left guard for no gain (tackle by Anthony Barr and Eric Kendricks),0.230,-1.440
1,9:33,4,1,SEA 29,0,0,Michael Dickson punts 55 yards downed by Jacob Martin,-1.440,0.140
1,9:19,1,10,MIN 16,0,0,Kirk Cousins pass incomplete short left intended for Dalvin Cook,-0.140,-0.660
1,9:15,2,10,MIN 16,0,0,Dalvin Cook up the middle for -1 yards (tackle by Dion Jordan),-0.660,-1.470
1,8:32,3,11,MIN 15,0,0,"Kirk Cousins pass complete short left to Dalvin Cook for -4 yards (tackle by Bobby Wagner). Penalty on Bobby Wagner: Unnecessary Roughness, 15 yards (no play)",-1.470,0.940
1,8:07,1,10,MIN 30,0,0,Dalvin Cook up the middle for 13 yards (tackle by Barkevious Mingo),0.940,1.800
1,7:40,1,10,MIN 43,0,0,Kirk Cousins pass complete short right to Dalvin Cook for -4 yards (tackle by Shaquill Griffin),1.800,0.710
1,6:58,2,14,MIN 39,0,0,Latavius Murray left end for 2 yards (tackle by Bobby Wagner and Quinton Jefferson),0.710,0.300
1,6:08,3,12,MIN 41,0,0,Kirk Cousins pass incomplete deep middle intended for Aldrick Robinson,0.300,-0.650
1,6:02,4,12,MIN 41,0,0,"Matt Wile punts 38 yards, returned by Tyler Lockett for no gain (tackle by C.J. Ham and Ben Gedeon). Penalty on Maurice Alexander: Illegal Block Above the Waist, 10 yards",-0.650,0.370
1,5:50,1,10,SEA 11,0,0,Russell Wilson pass complete short left to Nick Vannett for 12 yards (tackle by Anthony Harris). Penalty on Xavier Rhodes: Defensive Holding (Declined),-0.370,0.480
1,5:30,1,10,SEA 23,0,0,Russell Wilson pass complete short right to Tyler Lockett for 2 yards (tackle by Harrison Smith),0.480,0.200
1,4:55,2,8,SEA 25,0,0,Chris Carson left end for 9 yards (tackle by Everson Griffen),0.200,1.200
1,4:19,1,10,SEA 34,0,0,Chris Carson left guard for 7 yards (tackle by Anthony Barr and Everson Griffen),1.200,1.600
